LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
7.6802,12.494,16.446,-15.125,9.7081,29.389,13.887,2.4288
15.289,3.3682,6.3434,-2.2969,-26.328,2.5313,7.6305,3.0767
18.148,-9.9697,-14.466,-3.574,18.899,17.173,-26.597,4.5895
30.277,32.122,10.24,31.948,16.83,17.07,13.886,7.4943
19.12,15.231,10.795,-21.459,25.858,-8.5778,12.62,4.3647
47.708,47.814,2.2549,-17.779,4.1948,30.718,8.0526,8.4719
57.323,0.4074,-20.446,-3.7409,12.921,29.262,21.445,6.3168
-8.0635,26.026,-42.643,-3.2242,14.939,19.143,16.932,4.3742
