LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
-6.1269,-6.3392,-1.8763,-24.459,-17.706,29.389,-7.7234,-2.5839
-0.97556,-17.185,-17.073,-17.595,-36.911,-17.885,-16.857,-4.4435
4.7844,-22.983,-28.006,-16.431,-10.485,-3.2758,-33.221,-5.515
11.39,21.376,-19.837,8.5508,-14.096,-10.88,-19.281,-5.9912
3.7893,-2.0141,-10.884,-29.152,8.6673,-24.018,-10.242,-3.4348
21.95,40.755,-34.398,-43.138,-32.21,-8.7776,-30.319,-9.1001
53.752,-27.888,-42.651,-25.641,-18.269,-7.0839,-7.5234,-7.6921
-33.211,4.4547,-47.732,-23.16,-18.057,-7.8292,-11.948,-4.0042
