Lag0,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6
0,-1.7718,0.22855,11.524,6.7305,7.0111,0.63411
0,0.1165,5.2278,11.251,5.1921,2.8875,0.27112
0,-0.45086,1.342,5.2917,0.25865,-1.423,-1.9367
0,0.46011,4.938,13.053,7.641,5.69,3.9452
0,1.0579,4.2418,10.836,7.6391,8.9561,3.7583
0,2.0176,5.3052,8.4819,7.3287,12.242,10.384
0,-2.9905,-1.0733,-0.38761,-10.348,-16.45,-26.374
0,-0.50217,-1.4959,-2.5207,-2.1192,-6.7432,-9.709
0,-1.932,-1.7821,-1.4304,-1.858,-1.165,-7.5563
0,-0.26464,-0.31079,3.583,5.9535,1.7511,-1.2551
0,1.0513,-1.2539,-3.1824,2.57,4.9389,0.42156
0,1.6131,-1.4552,-3.2638,4.2773,3.7713,-4.9682
0,1.6415,0.38653,3.8296,17.067,14.671,6.8415
0,1.4265,0.098747,1.8567,10.669,15.358,8.3096
0,-0.68787,-2.7036,-6.3402,-14.507,-8.8391,-8.4489
0,0.25537,1.4593,7.7073,4.4002,-9.0124,-7.6168
0,-0.021597,0.45799,-0.43954,5.729,9.2245,3.4479
0,-0.26629,3.6741,10.708,3.6047,-4.7253,-2.2854
0,-0.17435,0.68938,5.4913,7.192,1.8529,2.3372
0,0.2637,2.8918,6.3977,-2.4892,-16.067,-16.684
0,0.5784,3.0748,13.611,11.567,0.98305,-1.477
0,0.36647,4.6553,17.038,13.509,4.5472,-3.7645
0,-0.5992,-0.018649,0.71892,7.7196,16.324,24.543
0,-0.5524,-1.9292,-3.6445,-4.1759,-7.7726,-1.9502
0,-2.2897,-0.7041,-0.98449,-0.60205,0.7909,-3.4194
0,0.060996,1.5103,8.9589,7.6986,6.8176,7.2506
0,1.5836,0.64857,-1.6117,1.2841,2.6122,-2.2249
0,0.90533,-1.8546,1.7833,0.92457,-7.4397,-13.479
0,1.0977,1.9441,6.8348,11.624,7.3666,2.749
0,1.8863,0.15402,-13.135,3.1271,17.392,21.313
0,2.0667,-0.49176,-4.9087,-2.1086,-8.904,-17.456
0,0.56807,-1.5794,-4.1325,-2.8298,2.6486,2.8947
0,-0.22451,-2.2072,-0.07368,0.4719,1.847,-5.0002
0,-2.0571,-4.756,-1.6924,1.7895,0.38887,-3.5366
0,-0.1795,-2.5419,-2.1085,0.076908,3.1856,0.021541
0,0.076987,-0.99464,3.0692,6.8501,11.929,17.523
0,1.0592,-1.8788,4.859,5.6161,4.935,-0.74024
0,1.1672,1.1729,8.1939,6.8313,11.751,4.2332
0,-0.08168,-4.739,-6.6651,-6.2318,-6.429,-1.808
0,-0.81515,-1.664,0.46711,4.4875,3.9778,5.7956
0,-0.16626,0.40715,5.4989,1.2765,-2.8201,-6.4325
0,1.1031,0.63457,5.2824,8.5094,5.6983,1.0601
0,-0.59519,2.8221,14.606,14.884,7.9591,-2.6649
0,-0.51894,-0.14668,3.595,1.8299,-7.7871,-12.443
0,0.21854,0.85709,7.3479,8.7617,10.466,7.4219
0,1.8292,4.1281,18.065,17.986,10.4,2.8514
0,0.12357,0.57395,8.7675,4.1707,-2.061,-5.1424
0,0.49428,-3.4032,-1.5312,6.146,-0.013608,-12.336
0,0.37683,-1.7984,-5.8626,1.8706,5.4207,17.355
0,0.074112,-0.28889,2.7924,9.6219,3.6742,-4.4021
0,0.23473,1.8761,10.255,21.882,24.211,17.804
0,-0.71191,-2.585,6.3448,6.9844,-6.406,-18.532
0,1.1372,1.384,9.4955,15.743,13.605,1.468
