20	-17	14
12	-27	3
38	-39	44
-6	-45	26
-42	6	37
-6	6	-5
-10	-6	26
42	49	16
53	-8	0
14	-14	28
12	57	8
-30	-48	10
-28	-22	-14
-53	26	13
-4	-51	32
-4	-56	-27
8	-31	2
-18	39	42
55	-6	-11
-36	-62	42
-38	4	38
-34	-3	-20
-22	24	43
22	-67	-24
10	-84	28
57	-19	1
67	-19	18
-12	39	42
55	-8	-13
-8	-51	30
-53	24	14
-38	-60	36
-24	21	38
-53	-16	-11
-30	-22	-14
-10	46	25
-12	-33	-5
20	26	45
-8	2	11
6	-25	0
6	53	12
-36	6	40
14	47	40
48	-61	31
10	-84	28
6	-36	53
59	-42	13
-40	-19	8
36	47	12
46	-44	56
28	58	27
-22	-57	-4
34	-21	10
50	-10	0
-38	-14	-3
20	-28	62
8	-43	74
24	-39	68
-10	-30	51
-12	-24	68
6	-63	-10
-55	-12	-6
-12	-49	36
-12	37	44
-38	-66	44
-2	-52	-28
48	-61	33
-48	22	12
59	-6	-13
-10	6	9
-57	-37	4
18	37	41
-14	13	64
10	12	7
4	-25	-2
-8	-14	-4
28	13	-6
14	-29	47
-16	-22	60
53	-17	8
6	-75	52
-57	-4	28
18	-28	62
42	-30	60
42	0	6
50	-30	22
40	-19	10
44	3	-15
-10	-4	32
20	-43	67
-42	-23	9
10	-86	28
-14	-6	65
-44	-14	30
50	-44	54
24	-34	51
-40	-3	11
-12	-10	43
34	36	13
-40	-16	21
40	-36	18
-30	-46	13
-18	-66	0
32	-43	63
-22	-52	-1
50	-69	9
-4	50	31
-2	-47	24
-48	-64	35
-55	-18	-8
-40	25	-6
-4	-50	-28
51	-58	36
-8	2	9
-18	-6	-10
18	-71	-23
53	-12	-13
48	23	32
-10	-27	0
-51	11	-9
-10	-7	6
36	14	44
26	-25	-4
10	-79	46
22	-41	67
40	1	11
12	-6	39
48	-24	23
-18	-36	57
22	-40	13
14	-29	46
-34	-13	21
61	-1	11
-42	-21	5
40	-16	-3
-53	-30	20
63	-34	20
-10	37	50
-57	-39	6
-51	20	12
-46	-57	29
-14	-43	33
-26	15	-7
24	-75	-21
8	-8	-1
10	9	16
-10	-48	-28
-28	-10	-15
55	-60	40
-10	10	14
-50	1	-22
22	-19	16
26	9	-9
-53	3	-14
51	30	17
-38	-56	16
-6	34	22
51	-12	-13
-20	-71	-22
57	-41	0
26	-25	0
51	31	-3
36	5	13
14	-29	46
22	-38	11
-40	-3	13
48	-22	23
14	-35	72
