Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	
1	-40.0	-35.0	31.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	3	
2	-4.0	-51.0	-14.0	Left Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
3	8.0	-22.0	29.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 23	2	
4	-34.0	17.0	30.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	1	
5	-36.0	-41.0	39.0	Left Cerebrum	Parietal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	2	
6	-18.0	36.0	28.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 9	2	
7	-48.0	-35.0	40.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	3	
8	-51.0	-32.0	16.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	0	
9	-50.0	-25.0	-4.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 21	2	
10	-22.0	-46.0	15.0	No Gray Matter found						
11	6.0	-26.0	-7.0	Right Brainstem	Midbrain	*	Gray Matter	Red Nucleus	3	
12	-53.0	35.0	2.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	0	
13	-38.0	-4.0	-12.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 21	2	
14	-32.0	-17.0	-19.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Hippocampus	1	
15	6.0	-42.0	-25.0	Right Cerebellum	Anterior Lobe	*	Gray Matter	*	0	
16	-50.0	-10.0	-10.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	4	
17	-8.0	-66.0	35.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
18	16.0	-36.0	-13.0	Right Cerebellum	Anterior Lobe	Culmen	Gray Matter	*	0	
19	-50.0	-24.0	-4.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 21	2	
20	-34.0	-30.0	18.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	0	
21	-6.0	-34.0	27.0	Left Cerebrum	Limbic Lobe	Posterior Cingulate	Gray Matter	Brodmann area 23	2	
22	-12.0	21.0	-1.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Head	0	
23	-20.0	-51.0	30.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	5	
24	-14.0	-44.0	43.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	1	
25	-32.0	-50.0	6.0	No Gray Matter found						
26	-48.0	-32.0	18.0	Left Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 41	1	
27	6.0	-45.0	32.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	0	
28	0.0	-39.0	-11.0	Left Cerebellum	Anterior Lobe	Cerebellar Lingual	Gray Matter	*	1	
29	-48.0	-13.0	15.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 43	0	
30	-34.0	9.0	22.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	4	
31	-50.0	37.0	9.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	1	
32	51.0	27.0	2.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	1	
33	44.0	13.0	25.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	2	
34	57.0	-50.0	6.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	3	
35	-53.0	-50.0	3.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 22	4	
36	16.0	41.0	33.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	3	
37	-40.0	22.0	14.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	3	
38	-22.0	14.0	51.0	Left Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	0	
39	38.0	-29.0	42.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
40	8.0	-51.0	32.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	2	
41	-12.0	6.0	44.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	1	
42	-48.0	-22.0	56.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 1	1	
43	-6.0	57.0	17.0	Left Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 10	1	
44	24.0	-9.0	50.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	0	
45	-53.0	-10.0	-10.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	4	
46	-24.0	-7.0	46.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	0	
47	30.0	1.0	24.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 6	5	
48	-44.0	-64.0	44.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
49	53.0	-55.0	32.0	Right Cerebrum	Parietal Lobe	Supramarginal Gyrus	Gray Matter	Brodmann area 40	1	
50	-28.0	-3.0	55.0	Left Cerebrum	Frontal Lobe	Sub-Gyral	Gray Matter	Brodmann area 6	1	
51	-53.0	-58.0	36.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
52	-40.0	-40.0	57.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
53	55.0	-6.0	-8.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	2	
54	59.0	-50.0	6.0	Right Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	3	
55	50.0	27.0	4.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 45	2	
56	-46.0	-53.0	-6.0	Left Cerebrum	Occipital Lobe	Middle Occipital Gyrus	Gray Matter	Brodmann area 19	4	
57	-32.0	-39.0	-8.0	Left Cerebrum	Limbic Lobe	Parahippocampal Gyrus	Gray Matter	Brodmann area 37	1	
58	-57.0	-33.0	42.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
59	-44.0	33.0	9.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 46	1	
60	-2.0	4.0	33.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	0	
61	32.0	-36.0	-12.0	Right Cerebrum	Temporal Lobe	Fusiform Gyrus	Gray Matter	Brodmann area 37	0	
62	-34.0	9.0	24.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	3	
63	18.0	-41.0	0.0	Right Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 30	1	
64	-36.0	-3.0	-12.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 21	4	
65	-30.0	-26.0	-12.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Hippocampus	2	
66	44.0	-47.0	-6.0	Right Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 37	3	
67	38.0	11.0	23.0	Right Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	5	
68	-36.0	-12.0	-3.0	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	1	
69	-34.0	-78.0	37.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 19	0	
70	-40.0	2.0	0.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	2	
71	59.0	-33.0	37.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	1	
