LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10,LV11,LV12,LV13,LV14,LV15,LV16
-0.2927,0.64833,-0.23208,0.50564,0.1652,0.57611,0.41706,0.53153,0.1148,0.68627,0.42253,-0.03498,0.76232,0.026324,0.55994,0.76322
0.71695,0.84642,0.47383,-0.27264,0.39716,-0.053635,-0.40221,-0.023089,0.65732,0.68648,0.4648,0.4688,0.50276,0.32614,0.082145,0.3692
-0.22153,0.61685,-0.21249,0.25719,0.53113,0.10112,0.17538,0.3965,0.47058,0.59577,-0.093173,-0.054077,-0.29532,0.63338,0.47061,0.74961
0.70671,0.8546,0.18955,0.47685,0.27634,0.84635,0.077206,0.18404,0.34074,0.29298,0.22169,0.7865,0.46052,0.69705,0.283,0.34962
-0.17833,0.5664,-0.26668,0.80915,0.57162,-0.29365,0.040916,0.56529,0.49111,0.15621,0.86545,0.51719,0.40151,0.6406,0.21078,0.63808
0.72914,0.87974,0.51269,0.43531,0.58362,0.50893,0.45236,0.89908,0.32758,0.7914,0.19956,0.578,0.31835,0.33842,0.26619,0.14044
0.13496,0.41176,-0.36931,0.60821,0.81267,0.30462,0.46666,0.45151,0.15074,0.49192,0.33938,0.086839,0.18288,0.26618,0.5001,-0.10959
0.72406,0.79926,0.30937,-0.20286,0.5592,0.10099,0.30755,0.70258,0.58086,-0.041239,-0.18117,0.63108,0.74325,0.42345,0.78086,0.31978
-0.1954,0.57741,0.061248,-0.35747,0.46055,0.70093,0.37546,0.72039,0.24494,-0.10918,0.8153,0.56828,-0.20172,0.0015405,0.27275,-0.14847
0.61609,0.84117,0.62541,0.27049,0.76571,0.60826,0.23559,0.25467,-0.30846,0.29409,0.22071,0.22294,0.61545,0.74803,0.4343,0.55156
-0.28068,0.51873,-0.20254,0.2646,0.76681,0.33572,0.58248,0.20877,0.49837,0.82962,0.56492,0.78792,0.6273,0.60127,0.67692,0.67782
0.68715,0.84946,0.31869,-0.29813,0.43016,0.17333,0.87162,0.35002,0.57334,0.43116,0.55515,0.26603,0.53647,0.65149,0.15692,0.41777
-0.30087,0.62896,0.088913,0.53524,0.37721,0.34546,0.24524,0.32493,0.63592,0.64634,0.28311,0.16031,0.47736,0.80125,0.41777,-0.12931
0.65898,0.84274,0.52373,0.57249,0.19808,-0.06098,0.70862,-0.15339,0.054628,0.54701,0.36287,0.75568,0.17507,0.20308,0.80481,0.30095
-0.33528,0.59066,0.43384,0.69217,0.66172,0.28286,0.6982,0.21484,0.68779,0.3056,0.090034,0.62346,0.49586,0.027337,-0.046977,0.58305
0.73049,0.85894,0.65627,0.44,0.69454,0.84952,0.27225,0.15067,0.80593,0.36735,0.68958,0.31082,0.37825,0.42065,0.72102,0.54635
