LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10,LV11,LV12,LV13,LV14,LV15,LV16
-0.70039,-0.10173,-0.86984,-0.1998,-0.76884,-0.23941,-0.61101,-0.27699,-0.63184,-0.098731,-0.51199,-0.76223,0.0083788,-0.7607,-0.26439,-0.25449
0.26087,0.33929,-0.43312,-0.81034,-0.34515,-0.75721,-0.87504,-0.79803,-0.19603,-0.3065,-0.45647,-0.44847,-0.37051,-0.62203,-0.71901,-0.51377
-0.77026,-0.12994,-0.77617,-0.38227,-0.27615,-0.53804,-0.60414,-0.27357,-0.24328,-0.24209,-0.69722,-0.67573,-0.86129,-0.22795,-0.23779,-0.11379
0.16269,0.2413,-0.62303,-0.38086,-0.55056,0.18688,-0.71477,-0.71054,-0.54356,-0.67072,-0.65431,0.11998,-0.46849,-0.05683,-0.65752,-0.51758
-0.6826,-0.017104,-0.86733,0.31218,0.043808,-0.84449,-0.73292,-0.21269,-0.22313,-0.66294,0.1103,-0.24269,-0.21932,-0.094614,-0.51271,-0.018866
0.061851,0.48304,-0.32604,-0.34526,-0.080582,-0.40469,-0.42604,0.51346,-0.47821,0.20333,-0.63625,0.012409,-0.52837,-0.51682,-0.61531,-0.52296
-0.69848,-0.31555,-0.84927,-0.39638,0.43534,-0.43688,-0.37186,-0.52128,-0.67479,-0.4032,-0.48115,-0.71264,-0.59078,-0.63479,-0.34341,-0.82232
0.14528,0.28317,-0.45597,-0.71701,-0.25222,-0.63904,-0.48362,0.081203,-0.33089,-0.78341,-0.82222,-0.019811,-0.2149,-0.45606,0.22829,-0.48051
-0.78685,-0.15186,-0.75509,-0.8402,-0.23027,-0.11288,-0.41504,-0.012041,-0.56713,-0.78212,-0.011517,-0.20757,-0.74577,-0.66948,-0.49876,-0.71819
-0.10607,0.50352,0.00037891,-0.53579,0.17569,-0.23234,-0.53013,-0.54638,-0.82873,-0.58095,-0.57614,-0.64086,-0.24668,-0.061945,-0.39864,-0.31229
-0.80443,-0.15294,-0.85728,-0.69686,0.25796,-0.42954,-0.21473,-0.67531,-0.40147,0.31554,-0.35457,-0.093617,-0.26762,-0.25805,-0.08341,-0.33039
0.16628,0.35463,-0.53803,-0.71995,-0.36411,-0.62445,0.44939,-0.5442,-0.27378,-0.49965,-0.17157,-0.46523,-0.28996,-0.16948,-0.57311,-0.42521
-0.79185,-0.097295,-0.77664,-0.36855,-0.66144,-0.58397,-0.69983,-0.50996,-0.11867,-0.14615,-0.53244,-0.60323,-0.2608,-0.061246,-0.39979,-0.85344
0.028494,0.43911,-0.28111,-0.29475,-0.54762,-0.75874,-0.27313,-0.80864,-0.76845,-0.3862,-0.50489,0.13913,-0.68139,-0.5529,0.15543,-0.58898
-0.76764,-0.29746,-0.73216,-0.015522,-0.10312,-0.50662,-0.20587,-0.7036,-0.31799,-0.65682,-0.69568,-0.40302,-0.4264,-0.81189,-0.76519,-0.44698
0.13067,0.39633,-0.028301,-0.36536,-0.055952,0.18199,-0.50137,-0.62587,0.20795,-0.44409,0.082956,-0.59801,-0.48308,-0.53881,-0.096126,-0.36449
