LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
0.088576,0.40694,0.73819,0.56908,-0.58778,0.13521,0.089511,0.1337
0.54064,0.53657,-0.55822,0.37534,-0.67579,-0.60193,0.19894,-0.53154
0.41008,-0.31188,0.094878,0.035904,0.35724,-0.3699,0.78332,0.75213
0.54251,-0.26029,0.1154,0.014563,0.53292,0.57474,-0.48401,-0.6498
0.30946,0.19462,-0.2057,0.17134,0.32918,-0.31965,-0.73748,0.86636
0.029562,0.65113,0.42126,-0.63662,0.57861,-0.55583,-0.16273,-0.24642
0.37466,-0.21837,0.071163,-0.72842,-0.8316,0.47189,0.026978,0.3892
-0.03402,0.81139,-0.28417,-0.055885,0.17812,0.84765,0.49526,0.34869
