Clu#,Lag,X,Y,Z,X(mm),Y(mm),Z(mm),BSR,Appro.P,Clu_Size(voxels),Record Number,X coor,Y coor,Z coor,Level 1,Level 2,Level 3,Level 4,Level 5,Range (mm)
38,3,42,70,38,-8,12,2,3.8336,0.0001,87,38,-8,12,1,Left Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Head,0
39,3,56,74,59,20,20,44,3.7539,0.0002,47,39,20,21,39,Right Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 8,1
40,3,25,50,63,-42,-28,52,3.5841,0.0003,11,40,-42,-25,49,Left Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 2,2
41,3,17,49,55,-58,-30,36,-6.2063,0,241,41,-57,-27,35,Left Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,0
42,3,26,57,34,-40,-14,-6,-5.6736,0,65,42,-40,-14,-4,Left Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,1
43,3,77,39,42,62,-50,10,-5.2777,0,226,43,61,-48,12,Right Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 22,2
44,3,20,38,34,-52,-52,-6,-5.1926,0,174,44,-51,-51,-3,Left Cerebrum,Temporal Lobe,Inferior Temporal Gyrus,Gray Matter,Brodmann area 37,4
45,3,41,50,62,-10,-28,50,-4.9239,0,352,45,-10,-25,47,Left Cerebrum,Frontal Lobe,Paracentral Lobule,Gray Matter,Brodmann area 6,1
46,3,77,46,57,62,-36,40,-4.8127,0,308,46,61,-33,39,Right Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,0
47,3,70,80,42,48,32,10,-4.7436,0,159,47,48,31,8,Right Cerebrum,Frontal Lobe,Inferior Frontal Gyrus,Gray Matter,Brodmann area 46,2
48,3,25,84,44,-42,40,14,-4.6821,0,152,48,-42,39,11,Left Cerebrum,Frontal Lobe,Inferior Frontal Gyrus,Gray Matter,Brodmann area 10,0
49,3,26,63,29,-40,-2,-16,-4.4457,0,29,49,-40,-3,-13,Left Cerebrum,Temporal Lobe,Sub-Gyral,Gray Matter,Brodmann area 21,3
50,3,27,86,52,-38,44,30,-4.3205,0,37,50,-38,44,25,Left Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 10,0
51,3,58,34,43,24,-60,12,-4.2856,0,23,51,24,-58,14,Right Cerebrum,Limbic Lobe,Posterior Cingulate,Gray Matter,Brodmann area 30,5
52,3,51,20,50,10,-88,26,-4.22,0,31,52,10,-84,28,Right Cerebrum,Occipital Lobe,Cuneus,Gray Matter,Brodmann area 19,1
53,3,59,93,54,26,58,34,-4.1903,0,11,53,26,58,28,Right Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 9,0
54,3,35,19,52,-22,-90,30,-4.1171,0,83,54,-22,-86,32,Left Cerebrum,Occipital Lobe,Cuneus,Gray Matter,Brodmann area 19,0
55,3,56,42,34,20,-44,-6,-4.0653,0,46,55,20,-43,-3,Right Cerebrum,Limbic Lobe,Parahippocampal Gyrus,Gray Matter,Brodmann area 19,1
56,3,63,45,29,34,-38,-16,-3.998,0.0001,23,56,34,-37,-12,Right Cerebrum,Temporal Lobe,Fusiform Gyrus,Gray Matter,Brodmann area 37,0
57,3,57,41,73,22,-46,72,-3.9077,0.0001,15,57,22,-41,68,Right Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 5,1
58,3,26,63,46,-40,-2,18,-3.8695,0.0001,32,58,-40,-1,17,Left Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,2
59,3,33,40,35,-26,-48,-4,-3.77,0.0002,15,59,-26,-47,-1,Left Cerebrum,Limbic Lobe,Parahippocampal Gyrus,Gray Matter,Brodmann area 19,2
60,3,43,66,53,-6,4,32,-3.6023,0.0003,19,60,-6,5,29,Left Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 24,1
61,3,73,45,48,54,-38,22,-3.4905,0.0005,11,61,53,-36,22,Right Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,1
