Clu#,Lag,X,Y,Z,X(mm),Y(mm),Z(mm),BSR,Appro.P,Clu_Size(voxels),Record Number,X coor,Y coor,Z coor,Level 1,Level 2,Level 3,Level 4,Level 5,Range (mm)
------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,60,91,54,28,54,34,5.4952,0,67,1,28,54,29,Right Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 9,0
2,1,51,46,59,10,-36,44,5.1518,0,15,2,10,-33,42,Right Cerebrum,Parietal Lobe,Sub-Gyral,Gray Matter,Brodmann area 31,2
3,1,56,67,65,20,6,56,5.0213,0,18,3,20,8,51,Right Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 6,1
4,1,41,58,50,-10,-12,26,4.7531,0,25,4,-10,-10,24,Left Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Body,3
5,1,39,50,77,-14,-28,80,4.6441,0,25,5,-14,-23,75,No Gray Matter found,,,,,
6,1,17,45,49,-58,-38,24,4.4662,0,14,6,-57,-36,24,Left Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,2
7,1,38,60,62,-16,-8,50,4.3661,0,46,7,-16,-5,46,Left Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 24,0
8,1,33,86,47,-26,44,20,4.3617,0,32,8,-26,44,16,Left Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 10,3
9,1,72,39,56,52,-50,38,4.2896,0,125,9,51,-47,37,Right Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,2
10,1,54,66,57,16,4,40,4.163,0,10,10,16,6,37,Right Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 32,1
11,1,31,64,44,-30,0,14,4.0516,0.0001,22,11,-30,1,13,Left Cerebrum,Sub-lobar,Claustrum,Gray Matter,*,0
