-22	-50	12
-42	-2	-14
-40	-38	30
0	-44	-18
-32	16	34
-12	-76	40
-50	40	12
-40	36	28
62	-16	24
-40	-74	12
-2	-54	32
-14	-30	-26
16	-32	-18
-34	-2	-24
54	-70	22
-60	-32	36
-54	-52	-6
58	-50	0
10	-38	56
34	-34	22
62	-36	40
-58	-12	16
26	-50	0
24	-46	72
-20	-92	30
32	-36	-18
24	-58	12
-6	4	32
-40	44	30
22	-86	44
-52	-12	48
56	-2	14
-38	-12	-4
-16	-80	-12
46	-48	-10
-40	-2	16
38	-10	42
34	-80	-8
-22	-50	-6
20	-46	54
48	34	8
-22	-74	-2
46	-38	12
-42	40	14
42	-4	6
18	-20	68
-6	-56	26
-24	-8	50
62	-6	-12
44	-30	44
-20	36	46
-6	56	20
-6	14	46
-42	-62	36
-42	-28	52
48	-62	32
-14	-42	32
-4	-32	52
-54	-52	-6
64	-36	40
40	-18	54
60	-48	4
-34	-14	36
-2	-18	68
56	-4	14
-14	-76	-10
50	40	6
-26	-26	44
46	-36	12
46	-46	-12
-28	-18	16
-28	-90	30
20	-90	26
-24	-54	-8
12	-30	28
-42	-2	-14
-60	-32	36
-48	-6	24
-8	-6	34
-36	-16	24
16	-46	-4
54	-68	4
-10	-62	-2
36	8	14
0	-56	36
-54	-12	-10
-52	-68	24
-40	-30	50
62	-4	-14
-10	50	18
40	-34	42
54	-60	38
-14	38	54
16	-68	-24
0	-38	-8
-30	-8	58
-28	2	52
26	-52	-24
-6	18	42
-6	-52	-20
0	2	8
-14	18	64
-8	-86	44
64	-36	38
10	-42	46
42	0	10
-62	-32	20
-40	-44	-8
38	-10	42
10	-94	18
40	-16	-6
22	-60	42
-60	-6	16
10	-84	46
20	-44	72
42	-64	14
18	-90	24
0	-18	70
12	-8	40
16	-38	64
50	38	8
14	-18	68
62	-16	22
28	-18	4
6	36	2
-30	-18	16
-56	-4	34
-38	0	12
58	-50	0
-24	-70	38
-54	-16	-12
-50	-68	34
-4	-52	32
-14	36	56
-32	-2	-22
56	-64	40
-4	-2	6
10	-40	60
44	0	8
-18	-42	58
52	-36	22
30	-40	-24
-10	-28	46
-42	-12	-4
12	-40	76
12	-18	40
16	-20	68
-34	-16	40
62	-16	24
-58	-32	32
40	-10	42
28	-18	8
8	-76	2
-8	-8	64
32	34	16
-32	2	14
42	-16	-8
22	-60	42
-28	-4	-22
-56	-60	36
-52	8	-20
-14	36	56
-52	30	4
-8	52	38
56	-62	40
-10	-52	32
28	-76	-32
-10	22	58
