LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
-8.9318,-12.621,-24.919,-3.944,-14.708,-1.6716,-10.759,-4.7435
0.24691,-12.546,-16.319,-18.553,-20.947,-14.174,-9.3624,-3.2595
12.116,-14.963,-20.096,-9.2952,-10.292,-12.448,-4.0781,-7.5517
-10.004,-15.98,-9.2711,4.474,-11.648,-14.287,-8.0966,-0.87138
-4.5333,-18.197,-20.198,-12.094,-2.864,-14.859,-15.55,-3.4239
-10.287,-19.333,-32.408,-4.8621,-15.002,-19.322,-5.9618,-2.6254
14.272,-21.604,-25.386,-4.6348,-19.77,-16.65,-19.333,-5.9215
3.0394,5.7357,-21.281,-2.0802,-11.616,-17.16,-12.139,-4.7104
