LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
-2.0465,-4.7797,-24.143,6.6066,-7.4906,11.437,-2.5067,-0.00306
8.3342,-4.9498,-10.481,-11.98,-15.68,-7.016,-0.16994,-0.0035022
24.986,-7.3762,-15.42,3.9488,2.5536,-0.98214,12.525,-0.0019607
-4.2774,-10.568,-1.4398,16.761,-5.4968,-7.7234,0.89694,-0.0037711
4.2078,-11.821,-17.512,-3.1078,10.052,-7.2527,-9.3834,-0.002956
-2.1695,-12.67,-33.213,6.6975,-7.3285,-14.279,5.6266,-0.0040787
29.183,-15.425,-20.365,12.358,-10.97,-6.11,-9.3224,-0.0038458
11.61,18.382,-19.737,9.164,-3.4476,-9.5144,-3.2611,-0.0050736
