Lag0,Lag1,Lag2,Lag3
0,-1.2943,-29.392,-32.882
0,1.1818,-25.181,-35.784
0,-2.3483,-25.087,-40.809
0,5.2576,-9.991,-26.123
0,-2.7371,-14.401,-11.603
0,-0.2535,-11.643,-18.276
0,-3.5163,-25.591,-36.172
0,-3.1135,-31.266,-45.483
0,0.12481,1.5923,1.3627
0,-1.5727,-11.222,-8.8148
0,-0.12357,-15.296,-19.096
0,-2.7025,-13.07,-10.155
0,1.4273,-0.87849,5.3424
0,1.8749,-0.94648,-7.6449
0,-2.2319,-8.4286,-15.624
0,5.9647,14.726,16.002
0,1.5294,-0.7252,2.4384
0,-1.4646,-10.102,-11.726
0,-5.2923,-25.718,-30.74
0,-8.069,-42.243,-50.242
0,-1.1445,-18.068,-26.546
0,3.5067,3.1204,-3.0126
0,-7.5552,-36.323,-57.482
0,-1.3151,3.9983,14.567
0,-0.58841,-11.507,-23.63
0,-0.090864,-6.3777,-20.991
0,0.59841,-5.4599,-18.965
0,4.0709,0.72001,-4.4528
0,0.46361,-7.139,-19.608
0,0.64025,-5.2347,-12.887
0,-0.77842,-7.484,-18.271
0,-0.3334,-5.48,-13.563
0,3.6888,1.1394,-13.157
0,7.2747,25.267,21.502
0,1.3908,10.382,10.364
0,6.824,60.45,93.417
0,-1.7368,6.4628,19.062
0,-0.21859,27.709,45.617
0,-2.9188,-14.355,-39.681
0,-3.3773,-19.25,-19.501
0,0.3655,-4.7274,-2.3543
0,-5.4492,-15.032,3.3762
0,-3.6735,1.1756,22.818
0,-6.7298,-23.517,-12.956
0,-4.0433,-24.661,-21.951
0,-1.2695,-2.1404,26.549
0,-7.3919,-14.322,-23.813
0,-1.7716,-5.5412,0.42844
0,-1.6212,-8.3714,-14.968
0,1.8264,-0.10804,-2.8108
0,-2.2431,-12.044,-11.914
0,2.19,0.72797,4.9539
0,2.7012,19.699,25.353
0,-0.98956,-1.9409,-9.7761
0,-2.473,-11.987,-20.766
0,-0.26532,-1.1839,3.1909
0,-0.31056,-0.42952,-1.1864
0,-2.2674,9.1895,24.178
0,-2.5658,0.61258,1.2314
0,-1.7208,1.5187,14.935
0,-2.0886,-3.3154,-4.1991
0,1.3542,10.374,14.334
0,-3.6173,10.179,9.2969
0,1.4861,8.9628,12.429
0,4.1116,7.5342,-1.1453
0,-2.8704,-8.372,-20.684
0,-4.9875,-18.094,-28.933
0,6.9715,8.357,-7.2977
0,2.3298,3.8796,-13.961
0,3.9855,-6.4591,-23.072
0,-8.0599,-23.977,-41.127
0,2.3359,4.4953,-2.4134
0,1.5872,18.965,33.712
0,-0.44404,-3.6431,-2.4242
0,0.49087,14.586,13.943
0,5.3041,20.396,15.529
0,2.0281,0.4168,2.6454
0,6.2136,36.439,43.87
0,1.5127,16.698,-2.6928
0,2.4598,26.621,28.175
0,1.4076,-10.584,0.57981
0,-4.8179,-51.181,-23.718
0,-10.55,-32.186,-45.505
0,2.0315,7.8979,3.2256
0,-0.61379,-13.719,-33.83
0,-4.4901,-8.1159,42.43
0,-12.348,-45.64,-39.533
0,-0.70927,-9.1225,1.2549
0,4.2607,11.85,0.78182
0,-2.2311,-15.497,-23.226
0,-1.862,-14.753,-38.348
0,-2.1062,-6.1732,-17.428
0,1.3157,-1.7701,2.6877
0,1.657,-1.6211,-24.152
0,-3.1348,-4.2714,-17.284
0,-1.0892,-14.386,-13.926
0,-1.1024,-10.796,-18.692
0,1.1113,-16.192,-32.355
0,-5.482,-28.537,-35.345
0,-0.40366,-10.786,-9.6073
0,-7.0277,-27.712,-30.168
0,-0.42006,-16.456,-14.141
0,-4.3748,-24.213,-25.616
0,0.66007,-14.568,-11.725
0,-0.65407,4.5374,15.471
0,-3.3582,6.7067,10.088
0,0.68878,4.8731,-2.3152
0,1.1662,11.011,24.618
0,-0.73951,2.7083,16.04
0,-1.383,1.3524,15.448
0,-0.97025,2.0894,1.4023
0,0.83578,9.174,9.8806
0,1.0674,-8.8767,-18.76
0,-0.44346,4.9097,5.9798
0,-2.9052,-24.929,-23.491
0,1.8287,8.0444,12.502
0,-4.2454,-17.857,-21.444
0,-2.9874,-22.655,-27.415
0,-2.7411,-25.628,-43.517
0,-0.81041,-1.6296,0.62476
0,2.2356,9.3355,15.193
0,1.5696,2.0751,9.2387
0,-1.375,-8.5522,-17.043
0,-0.82527,3.9044,15.105
0,-0.020827,-1.2726,-4.418
0,-0.60742,4.7194,2.8123
0,2.1821,37.513,64.912
0,-1.4362,3.2369,5.1864
0,2.0654,12.921,9.0793
0,1.2737,-4.5834,-3.4766
0,3.8334,17,4.3201
0,4.6848,15.735,7.0204
0,1.0882,1.8291,-5.7073
0,3.5795,4.4569,-8.9519
0,-0.27223,-6.5765,-24.403
0,2.5622,10.051,7.6106
0,3.0855,-5.5011,2.0972
0,-1.2769,-10.226,-10.839
0,-2.2678,-9.443,-23.04
0,-0.026926,-20.268,-32.467
0,0.86027,-4.4479,-8.2671
0,-0.65831,-1.1189,-6.7503
0,-5.0048,-30.44,-48.503
0,-2.3699,-21.562,-32.965
0,3.69,8.7891,12.182
0,1.8012,28.07,29.2
0,2.5882,0.98844,-7.1923
0,3.0172,9.5559,4.8764
0,4.1137,-7.0504,-10.948
0,1.1189,-6.9061,-8.91
0,-1.7923,-10.029,-16.543
0,4.6911,17.631,6.3172
0,1.1557,9.8149,4.8844
0,-5.3692,-16.195,-13.811
0,-2.395,-9.2746,-9.3113
0,0.12554,-2.9568,-20.22
0,4.4659,0.64371,9.993
0,-0.38965,2.1213,-1.2134
0,-1.5674,-23.113,-35.065
0,-2.0026,-20.84,-35.784
0,4.8145,-8.1894,-21.311
0,-1.2588,-6.1708,2.819
0,-1.7115,-8.5039,-6.6828
0,1.0467,-13.884,-21.976
0,-0.19536,12.574,24.429
0,3.557,2.7564,2.1688
0,-4.5802,-14.097,-23.025
0,5.064,9.1509,7.3858
0,-7.3743,-57.325,-58.877
0,-10.111,-53.219,-52.39
0,-4.3936,-33.663,-26.815
0,-7.0078,-41.211,-34.096
0,-7.6369,-34.362,-19.057
0,-5.1287,-41.031,-33.076
0,-7.1375,-52.047,-48.156
0,-9.7784,-53.661,-49.815
0,-3.7455,-0.36962,0.69302
0,-3.9392,-14.976,-9.3471
0,-3.6316,-15.614,-33.854
0,-2.303,-2.7739,5.1492
0,1.6086,14.463,22.786
0,1.8512,6.7228,8.6683
0,-4.2257,-9.097,-4.2542
0,-0.34466,8.5602,14.471
0,1.3859,5.5221,-3.6231
0,2.645,0.2565,-11.324
0,4.2603,-3.2408,-21.628
0,14.851,20.769,-1.063
0,1.1517,-6.587,-16.305
0,1.1969,-9.156,-18.478
0,0.2566,-4.982,-20.704
0,1.8762,1.5362,-26.222
0,7.1094,28.984,16.177
0,3.5181,31.269,16.768
0,1.5831,20.268,24.985
0,10.612,44.498,39.878
0,1.4189,23.612,18.645
0,2.8597,10.941,7.4204
0,6.8521,37.504,27.861
0,1.0865,18.92,14.665
0,-0.54258,-5.1885,12.358
0,-4.6702,-39.189,-14.475
0,-5.1773,-24.564,-21.619
0,-1.1789,-23.795,-11.785
0,-7.9607,-51.009,-46.704
0,4.3414,14.819,31.563
0,2.3895,-18.926,-32.715
0,4.3537,-21.609,1.6081
0,5.7598,21.342,26.284
0,-0.94217,1.5846,21.432
0,0.12332,4.796,8.4762
0,5.6818,5.0282,36.758
0,0.55428,7.4,25.667
0,0.24871,-2.5069,-17.235
0,-2.5021,-4.8254,1.5986
0,2.3159,10.972,11.767
