LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
7.0541,8.7148,12.523,21.423,7.2296,21.252,5.7321,3.1124
-2.8157,11.532,20.993,10.998,-1.3742,8.1195,9.4068,2.7896
-10.699,7.3138,7.1072,17.976,7.6984,15.024,23.038,5.2011
8.7565,15.03,-5.376,9.7002,5.0662,8.1435,7.4109,2.3462
1.5745,15.227,15.027,18.604,18.251,7.0871,10.208,3.531
8.3508,15.237,9.669,31.31,1.8167,4.2846,10.865,2.2048
-17.92,17.225,3.7651,25.14,4.9982,13.877,7.8238,5.4745
2.5393,-9.6773,4.3708,19.455,7.3579,6.0527,4.2047,4.3048
