Clu#,Lag,X,Y,Z,X(mm),Y(mm),Z(mm),BSR,Appro.P,Clu_Size(voxels),Record#,X coor,Y coor,Z coor,Level 1,Level 2,Level 3,Level 4,Level 5,Range (mm)
38,1,43,53,72,-6,-22,70,4.2243,0,34,38,-6,-18,65,Left Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 6,1
39,1,57,50,26,22,-28,-22,4.2036,0,28,39,22,-28,-17,Right Cerebellum,Anterior Lobe,Culmen,Gray Matter,*,2
40,1,33,77,52,-26,26,30,4.2019,0,29,40,-26,27,26,Left Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 9,4
41,1,33,55,30,-26,-18,-14,4.1983,0,63,41,-26,-18,-11,Left Cerebrum,Limbic Lobe,Parahippocampal Gyrus,Gray Matter,Hippocampus,1
42,1,59,65,31,26,2,-12,4.1976,0,11,42,26,1,-10,Right Cerebrum,Sub-lobar,Lentiform Nucleus,Gray Matter,Putamen,4
43,1,22,32,59,-48,-64,44,4.1816,0,83,43,-48,-60,44,Left Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,0
44,1,70,79,47,48,30,20,4.1577,0,38,44,48,30,17,Right Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 46,0
45,1,52,36,19,12,-56,-36,4.1545,0,10,45,12,-56,-27,Right Cerebellum,Anterior Lobe,Nodule,Gray Matter,*,0
46,1,69,80,54,46,32,34,4.1369,0,14,46,46,33,30,Right Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 9,0
47,1,46,54,34,0,-20,-6,4.128,0,14,47,0,-20,-4,Left Brainstem,Midbrain,*,Gray Matter,Red Nucleus,2
48,1,55,81,60,18,34,46,4.0872,0,16,48,18,35,41,Right Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 8,2
49,1,36,26,22,-20,-76,-30,4.0777,0,15,49,-20,-75,-21,Left Cerebellum,Posterior Lobe,Declive,Gray Matter,*,0
50,1,62,46,29,32,-36,-16,4.0216,0.0001,49,50,32,-36,-12,Right Cerebrum,Temporal Lobe,Fusiform Gyrus,Gray Matter,Brodmann area 37,0
51,1,53,60,36,14,-8,-2,4.0098,0.0001,14,51,14,-8,-1,Right Cerebrum,Sub-lobar,Lentiform Nucleus,Gray Matter,Medial Globus Pallidus,1
52,1,18,46,54,-56,-36,34,3.9594,0.0001,20,52,-55,-33,33,Left Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,1
53,1,17,36,47,-58,-56,20,3.9372,0.0001,16,53,-57,-53,21,Left Cerebrum,Temporal Lobe,Supramarginal Gyrus,Gray Matter,Brodmann area 40,1
54,1,40,88,58,-12,48,42,3.9028,0.0001,17,54,-12,48,36,Left Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 8,2
55,1,41,58,65,-10,-12,56,3.8321,0.0001,17,55,-10,-9,52,Left Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 6,0
56,1,46,50,54,0,-28,34,3.7785,0.0002,16,56,0,-26,33,Left Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 23,1
57,1,57,32,37,22,-64,0,3.7741,0.0002,14,57,22,-62,3,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Gray Matter,Brodmann area 19,1
58,1,72,32,33,52,-64,-8,3.7521,0.0002,14,58,51,-62,-4,Right Cerebrum,Occipital Lobe,Middle Occipital Gyrus,Gray Matter,Brodmann area 19,1
59,1,62,30,67,32,-68,60,3.7317,0.0002,16,59,32,-63,58,Right Cerebrum,Parietal Lobe,Superior Parietal Lobule,Gray Matter,Brodmann area 7,1
60,1,55,59,67,18,-10,60,3.6507,0.0003,10,60,18,-7,56,Right Cerebrum,Frontal Lobe,Sub-Gyral,Gray Matter,Brodmann area 6,0
61,1,41,73,37,-10,18,0,3.5772,0.0003,21,61,-10,17,-1,Left Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Head,0
62,1,35,35,26,-22,-58,-22,3.5331,0.0004,18,62,-22,-57,-16,Left Cerebellum,Posterior Lobe,Declive,Gray Matter,*,0
63,1,61,27,33,30,-74,-8,3.5244,0.0004,12,63,30,-72,-3,Right Cerebrum,Occipital Lobe,Lingual Gyrus,Gray Matter,Brodmann area 18,4
64,1,27,77,56,-38,26,38,3.4891,0.0005,10,64,-38,27,34,Left Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 9,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
65,2,42,47,66,-8,-34,58,6.643,0,609,65,-8,-30,55,Left Cerebrum,Frontal Lobe,Paracentral Lobule,Gray Matter,Brodmann area 6,1
66,2,65,46,42,38,-36,10,6.5876,0,454,66,38,-34,11,Right Cerebrum,Temporal Lobe,Transverse Temporal Gyrus,Gray Matter,Brodmann area 41,0
67,2,67,28,42,42,-72,10,6.4702,0,300,67,42,-69,13,Right Cerebrum,Temporal Lobe,Middle Temporal Gyrus,Gray Matter,Brodmann area 39,2
68,2,33,39,71,-26,-50,68,6.1522,0,302,68,-26,-45,65,Left Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 5,1
