Clu#,Lag,X,Y,Z,X(mm),Y(mm),Z(mm),BSR,Appro.P,Clu_Size(voxels),Record Number,X coor,Y coor,Z coor,Level 1,Level 2,Level 3,Level 4,Level 5,Range (mm)
------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,52,68,70,12,8,66,6.9192,0,81,1,12,11,60,Right Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 6,2
2,1,52,81,40,12,34,6,6.1789,0,80,2,12,33,4,Right Cerebrum,Limbic Lobe,Anterior Cingulate,Gray Matter,Brodmann area 24,5
3,1,40,76,41,-12,24,8,6.0596,0,29,3,-12,24,6,Left Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Body,3
4,1,65,38,42,38,-52,10,5.9014,0,187,4,38,-50,12,Right Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 22,5
5,1,63,48,32,34,-32,-10,5.4644,0,25,5,34,-31,-7,Right Cerebrum,Temporal Lobe,Sub-Gyral,Gray Matter,Hippocampus,1
6,1,61,82,60,30,36,46,5.4005,0,13,6,30,37,41,Right Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 8,0
7,1,33,64,71,-26,0,68,5.3497,0,15,7,-26,3,62,Left Cerebrum,Frontal Lobe,Middle Frontal Gyrus,Gray Matter,Brodmann area 6,1
8,1,26,64,24,-40,0,-26,5.1662,0,28,8,-40,-1,-22,Left Cerebrum,Temporal Lobe,Fusiform Gyrus,Gray Matter,Brodmann area 20,2
9,1,68,43,36,44,-42,-2,4.7648,0,71,9,44,-41,0,No Gray Matter found,,,,,
10,1,55,68,64,18,8,54,4.7372,0,24,10,18,10,49,Right Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 6,2
11,1,53,37,49,14,-54,24,4.7205,0,30,11,14,-51,25,Right Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 31,3
12,1,58,50,56,24,-28,38,4.7068,0,17,12,24,-25,36,Right Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 31,4
13,1,28,31,30,-36,-66,-14,4.6611,0,49,13,-36,-65,-9,Left Cerebellum,Posterior Lobe,Declive,Gray Matter,*,2
14,1,61,53,51,30,-22,28,4.6506,0,64,14,30,-20,27,No Gray Matter found,,,,,
15,1,53,75,40,14,22,6,4.6017,0,18,15,14,22,4,Right Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Head,0
16,1,63,62,55,34,-4,36,4.5958,0,54,16,34,-2,33,Right Cerebrum,Frontal Lobe,Precentral Gyrus,Gray Matter,Brodmann area 6,2
17,1,39,86,61,-14,44,48,4.5729,0,16,17,-14,45,42,Left Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 8,1
18,1,24,32,33,-44,-64,-8,4.4986,0,29,18,-44,-62,-4,Left Cerebrum,Temporal Lobe,Middle Temporal Gyrus,Gray Matter,Brodmann area 37,4
19,1,32,47,43,-28,-34,12,4.4263,0,32,19,-28,-32,13,Left Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Tail,3
20,1,37,66,54,-18,4,34,4.4252,0,34,20,-18,5,31,Left Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 32,5
21,1,54,56,63,16,-16,52,4.415,0,22,21,16,-13,49,Right Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 6,1
22,1,45,42,62,-2,-44,50,4.3972,0,14,22,-2,-40,48,Left Cerebrum,Frontal Lobe,Paracentral Lobule,Gray Matter,Brodmann area 5,0
23,1,36,51,48,-20,-26,22,4.3715,0,12,23,-20,-24,21,Left Cerebrum,Sub-lobar,Caudate,Gray Matter,Caudate Tail,2
24,1,49,83,65,6,38,56,4.2927,0,15,24,6,39,50,Right Cerebrum,Frontal Lobe,Superior Frontal Gyrus,Gray Matter,Brodmann area 8,0
25,1,67,31,52,42,-66,30,4.1022,0,24,25,42,-63,31,Right Cerebrum,Temporal Lobe,Middle Temporal Gyrus,Gray Matter,Brodmann area 39,2
26,1,34,80,41,-24,32,8,4.0049,0.0001,19,26,-24,31,6,No Gray Matter found,,,,,
27,1,39,64,72,-14,0,70,3.956,0.0001,16,27,-14,3,64,Left Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 6,2
28,1,53,54,69,14,-20,64,3.7988,0.0001,20,28,14,-16,60,Right Cerebrum,Frontal Lobe,Precentral Gyrus,Gray Matter,Brodmann area 6,3
29,1,37,44,30,-18,-40,-14,-6.1473,0,14,29,-18,-39,-10,Left Cerebellum,Anterior Lobe,Culmen,Gray Matter,*,0
30,1,29,68,46,-34,8,18,-6.1442,0,31,30,-34,9,16,Left Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,2
31,1,50,62,51,8,-4,28,-6.0586,0,87,31,8,-3,26,Right Cerebrum,Limbic Lobe,Cingulate Gyrus,Gray Matter,Brodmann area 24,2
32,1,29,28,37,-34,-72,0,-5.3291,0,21,32,-34,-70,3,No Gray Matter found,,,,,
33,1,31,62,33,-30,-4,-8,-5.119,0,17,33,-30,-4,-7,Left Cerebrum,Sub-lobar,Lentiform Nucleus,Gray Matter,Putamen,2
34,1,18,39,48,-56,-50,22,-4.7756,0,41,34,-55,-47,23,Left Cerebrum,Temporal Lobe,Supramarginal Gyrus,Gray Matter,Brodmann area 40,0
35,1,78,43,41,64,-42,8,-4.663,0,10,35,63,-40,9,Right Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 22,2
36,1,54,76,61,16,24,48,-4.638,0,20,36,16,25,43,Right Cerebrum,Frontal Lobe,Medial Frontal Gyrus,Gray Matter,Brodmann area 8,2
37,1,67,63,37,42,-2,0,-4.3102,0,33,37,42,-2,0,Right Cerebrum,Sub-lobar,Insula,Gray Matter,Brodmann area 13,0
38,1,30,40,66,-32,-48,58,-4.2917,0,20,38,-32,-44,56,Left Cerebrum,Parietal Lobe,Postcentral Gyrus,Gray Matter,Brodmann area 5,2
39,1,78,41,52,64,-46,30,-4.1756,0,14,39,63,-43,30,Right Cerebrum,Parietal Lobe,Supramarginal Gyrus,Gray Matter,Brodmann area 40,0
40,1,29,49,64,-34,-30,54,-4.1025,0,25,40,-34,-27,51,Left Cerebrum,Frontal Lobe,Precentral Gyrus,Gray Matter,Brodmann area 4,2
41,1,23,57,33,-46,-14,-8,-4.0267,0.0001,16,41,-46,-14,-6,Left Cerebrum,Temporal Lobe,Superior Temporal Gyrus,Gray Matter,Brodmann area 22,0
42,1,65,44,63,38,-40,52,-3.9265,0.0001,24,42,38,-36,50,Right Cerebrum,Parietal Lobe,Inferior Parietal Lobule,Gray Matter,Brodmann area 40,1
