subID,mfq.1,mfq.2,mfq.3,mfq.4,mfq.5,mfq.6,mfq.7,mfq.8,mfq.9,mfq.10,mfq.11,mfq.12,mfq.13,mfq.14,mfq.15,mfq.16,mfq.17,mfq.18,mfq.19,mfq.20,mfq.21,mfq.22,mfq.23,mfq.24,mfq.25,mfq.26,mfq.27,mfq.28,mfq.29,mfq.30,mfq.31,mfq.32,disgust.1,disgust.2,disgust.3,disgust.4,disgust.5,disgust.6,disgust.7,disgust.8,disgust.9,disgust.10,disgust.11,disgust.12,disgust.13,disgust.14,disgust.15,disgust.16,disgust.17,disgust.18,disgust.19,disgust.20,disgust.21,disgust.22,disgust.23,disgust.24,disgust.25,disgust.26,disgust.27,secs.1,secs.2,secs.3,secs.4,secs.5,secs.6,secs.7,secs.8,secs.9,secs.10,secs.11,secs.12,iri.1,iri.2,iri.3,iri.4,iri.5,iri.6,iri.7,iri.8,iri.9,iri.10,iri.11,iri.12,iri.13,iri.14,iri.15,iri.16,iri.17,iri.18,iri.19,iri.20,iri.21,iri.22,iri.23,iri.24,iri.25,iri.26,iri.27,iri.28
18,Very relevant,Very relevant,Somewhat relevant,Very relevant,Very relevant,Not at all relevant,Very relevant,Very relevant,Somewhat relevant,Slightly relevant,Somewhat relevant,Extremely relevant,Extremely relevant,Somewhat relevant,Somewhat relevant,Somewhat relevant,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Slightly agree,Strongly disagree,Moderately disagree,Strongly agree,Moderately disagree,Moderately disagree,Moderately disagree,Strongly disagree,Strongly disagree,Mildly disagree,Mildly agree,Mildly agree,Mildly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Mildly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Mildly agree,Very disgusting,Not disgusting at all,Moderately disgusting,Not disgusting at all,Slightly disgusting,Very disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,Not disgusting at all,Slightly disgusting,Not disgusting at all,Slightly disgusting,90,50,60,30,30,0,0,30,90,85,90,70,A (Does not describe me well),C,A (Does not describe me well),A (Does not describe me well),C,A (Does not describe me well),B,D,C,D,D,A (Does not describe me well),D,A (Does not describe me well),A (Does not describe me well),B,C,A (Does not describe me well),D,C,E (Describes me very well),C,C,A (Does not describe me well),D,C,A (Does not describe me well),D
23,Extremely relevant,Very relevant,Slightly relevant,Extremely relevant,Extremely relevant,Not at all relevant,Extremely relevant,Very relevant,Somewhat relevant,Very relevant,Very relevant,Very relevant,Somewhat relevant,Slightly relevant,Not very relevant,Extremely relevant,Moderately agree,Slightly agree,Slightly disagree,Strongly agree,Moderately agree,Strongly agree,Moderately agree,Slightly agree,Slightly agree,Slightly agree,Moderately agree,Moderately agree,Slightly disagree,Strongly disagree,Strongly agree,Moderately agree,Strongly disagree,Strongly disagree,Mildly disagree,Strongly agree,Mildly disagree,Strongly disagree,Mildly disagree,Mildly disagree,Mildly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Mildly agree,Mildly disagree,Extremely disgusting,Not disgusting at all,Moderately disgusting,Not disgusting at all,Very disgusting,Moderately disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,Moderately disgusting,Moderately disgusting,Very disgusting,Slightly disgusting,0,40,100,100,20,80,100,100,30,0,100,100,A (Does not describe me well),C,B,D,C,B,B,C,D,B,D,A (Does not describe me well),D,C,D,B,B,A (Does not describe me well),E (Describes me very well),E (Describes me very well),C,D,B,A (Does not describe me well),B,C,B,D
24,Very relevant,Very relevant,Not at all relevant,Slightly relevant,Somewhat relevant,Not very relevant,Somewhat relevant,Very relevant,Very relevant,Not very relevant,Somewhat relevant,Very relevant,Very relevant,Somewhat relevant,Very relevant,Not at all relevant,Moderately agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Moderately agree,Slightly agree,Moderately disagree,Slightly agree,Moderately disagree,Moderately agree,Moderately agree,Slightly agree,Strongly disagree,Mildly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Mildly disagree,Neither agree nor disagree,Neither agree nor disagree,Mildly disagree,Neither agree nor disagree,Mildly agree,Mildly disagree,Strongly agree,Mildly disagree,Mildly disagree,Slightly disgusting,Not disgusting at all,Slightly disgusting,Not disgusting at all,Slightly disgusting,Moderately disgusting,Very disgusting,Moderately disgusting,Slightly disgusting,Not disgusting at all,Moderately disgusting,Not disgusting at all,Slightly disgusting,100,37,32,9,82,33,0,0,67,33,0,0,D,C,C,C,B,A (Does not describe me well),E (Describes me very well),C,D,B,C,C,D,C,D,C,B,D,E (Describes me very well),C,C,A (Does not describe me well),C,B,C,D,B,C
25,Very relevant,Very relevant,Slightly relevant,Slightly relevant,Very relevant,Not at all relevant,Extremely relevant,Extremely relevant,Somewhat relevant,Slightly relevant,Very relevant,Extremely relevant,Extremely relevant,Slightly relevant,Slightly relevant,Extremely relevant,Strongly agree,Strongly agree,Moderately agree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree,Slightly disagree,Moderately agree,Strongly agree,Strongly agree,Slightly disagree,Strongly disagree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Mildly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Mildly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Slightly disgusting,Not disgusting at all,Moderately disgusting,Not disgusting at all,Slightly disgusting,Moderately disgusting,Moderately disgusting,Extremely disgusting,Not disgusting at all,Very disgusting,Very disgusting,Very disgusting,Slightly disgusting,0,100,79,100,30,100,100,100,100,44,100,70,E (Describes me very well),D,C,C,E (Describes me very well),C,A (Does not describe me well),C,D,B,A (Does not describe me well),A (Does not describe me well),D,B,D,D,A (Does not describe me well),B,C,C,B,D,D,A (Does not describe me well),B,E (Describes me very well),A (Does not describe me well),C
22,Very relevant,Extremely relevant,Not very relevant,Slightly relevant,Very relevant,Not at all relevant,Very relevant,Extremely relevant,Very relevant,Slightly relevant,Somewhat relevant,Very relevant,Extremely relevant,Somewhat relevant,Very relevant,Slightly relevant,Moderately agree,Strongly agree,Strongly disagree,Moderately agree,Slightly agree,Moderately agree,Strongly agree,Moderately agree,Slightly agree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Mildly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Very disgusting,Not disgusting at all,Moderately disgusting,Slightly disgusting,Very disgusting,Moderately disgusting,Extremely disgusting,Extremely disgusting,Slightly disgusting,Moderately disgusting,Moderately disgusting,Slightly disgusting,Moderately disgusting,50,92,70,82,96,50,95,75,100,74,76,8,E (Describes me very well),D,A (Does not describe me well),D,E (Describes me very well),C,B,C,D,B,D,A (Does not describe me well),B,B,B,D,C,A (Does not describe me well),C,D,C,D,D,A (Does not describe me well),A (Does not describe me well),E (Describes me very well),B,D
26,Very relevant,Very relevant,Not very relevant,Somewhat relevant,Slightly relevant,Not at all relevant,Very relevant,Extremely relevant,Not very relevant,Slightly relevant,Very relevant,Very relevant,Extremely relevant,Slightly relevant,Somewhat relevant,Somewhat relevant,Strongly agree,Strongly agree,Slightly agree,Moderately agree,Slightly agree,Moderately agree,Strongly agree,Moderately agree,Moderately disagree,Moderately disagree,Moderately disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Moderately agree,Strongly disagree,Mildly disagree,Strongly agree,Strongly agree,Mildly agree,Mildly disagree,Mildly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very disgusting,Not disgusting at all,Slightly disgusting,Not disgusting at all,Very disgusting,Slightly disgusting,Extremely disgusting,Moderately disgusting,Moderately disgusting,Extremely disgusting,Extremely disgusting,Very disgusting,Very disgusting,52,82,82,82,83,0,50,50,75,70,100,74,E (Describes me very well),E (Describes me very well),C,A (Does not describe me well),B,C,B,D,E (Describes me very well),E (Describes me very well),D,E (Describes me very well),B,B,D,D,D,A (Does not describe me well),D,D,D,E (Describes me very well),D,B,C,B,C,D
27,Somewhat relevant,Very relevant,Slightly relevant,Slightly relevant,Extremely relevant,Not very relevant,Slightly relevant,Very relevant,Very relevant,Somewhat relevant,Very relevant,Very relevant,Very relevant,Very relevant,Somewhat relevant,Extremely relevant,Moderately agree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Slightly agree,Moderately agree,Slightly agree,Strongly agree,Strongly agree,Moderately agree,Slightly disagree,Moderately agree,Moderately agree,Strongly agree,Mildly disagree,Mildly agree,Mildly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Mildly disagree,Strongly disagree,Strongly agree,Mildly disagree,Mildly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Very disgusting,Not disgusting at all,Moderately disgusting,Slightly disgusting,Moderately disgusting,Slightly disgusting,Very disgusting,Extremely disgusting,Moderately disgusting,Moderately disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,0,60,45,100,40,40,100,100,80,50,100,70,B,B,B,D,C,C,D,D,C,D,D,C,C,D,D,D,D,C,D,C,D,C,C,B,B,C,B,C
28,Extremely relevant,Very relevant,Slightly relevant,Very relevant,Extremely relevant,Not at all relevant,Very relevant,Extremely relevant,Slightly relevant,Slightly relevant,Very relevant,Extremely relevant,Extremely relevant,Slightly relevant,Very relevant,Extremely relevant,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Moderately agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly disagree,Strongly disagree,Slightly agree,Moderately agree,Strongly agree,Mildly disagree,Mildly agree,Neither agree nor disagree,Strongly disagree,Mildly disagree,Mildly agree,Strongly disagree,Mildly disagree,Mildly agree,Mildly disagree,Mildly agree,Strongly disagree,Mildly disagree,Mildly agree,Moderately disgusting,Not disgusting at all,Moderately disgusting,Slightly disgusting,Slightly disgusting,Moderately disgusting,Very disgusting,Extremely disgusting,Very disgusting,Moderately disgusting,Slightly disgusting,Not disgusting at all,Slightly disgusting,0,91,83,77,18,60,100,82,100,75,100,72,E (Describes me very well),D,B,C,E (Describes me very well),E (Describes me very well),A (Does not describe me well),E (Describes me very well),E (Describes me very well),D,D,B,D,C,B,D,E (Describes me very well),B,D,C,D,D,E (Describes me very well),A (Does not describe me well),C,E (Describes me very well),A (Does not describe me well),D
29,Extremely relevant,Very relevant,Somewhat relevant,Somewhat relevant,Very relevant,Not very relevant,Extremely relevant,Extremely relevant,Very relevant,Very relevant,Extremely relevant,Extremely relevant,Extremely relevant,Very relevant,Somewhat relevant,Slightly relevant,Strongly agree,Strongly agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Slightly agree,Strongly disagree,Moderately agree,Strongly agree,Moderately agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Mildly disagree,Strongly agree,Strongly agree,Mildly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Mildly disagree,Strongly agree,Extremely disgusting,Not disgusting at all,Very disgusting,Not disgusting at all,Very disgusting,Moderately disgusting,Extremely disgusting,Extremely disgusting,Slightly disgusting,Moderately disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,50,36,30,10,74,0,50,59,69,66,85,67,D,D,A (Does not describe me well),A (Does not describe me well),C,D,E (Describes me very well),E (Describes me very well),E (Describes me very well),D,D,A (Does not describe me well),D,B,B,B,D,A (Does not describe me well),E (Describes me very well),B,E (Describes me very well),E (Describes me very well),B,B,D,C,A (Does not describe me well),D
30,Extremely relevant,Very relevant,Somewhat relevant,Slightly relevant,Somewhat relevant,Not at all relevant,Not at all relevant,Slightly relevant,Very relevant,Slightly relevant,Somewhat relevant,Very relevant,Somewhat relevant,Slightly relevant,Very relevant,Not at all relevant,Moderately agree,Strongly agree,Slightly disagree,Moderately agree,Slightly disagree,Moderately agree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Moderately disagree,Slightly agree,Moderately disagree,Moderately agree,Slightly agree,Mildly agree,Strongly agree,Mildly disagree,Neither agree nor disagree,Mildly disagree,Mildly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Mildly agree,Mildly disagree,Strongly agree,Mildly agree,Strongly agree,Very disgusting,Extremely disgusting,Moderately disgusting,Very disgusting,Moderately disgusting,Moderately disgusting,Very disgusting,Very disgusting,Slightly disgusting,Very disgusting,Moderately disgusting,Very disgusting,Extremely disgusting,100,21,0,0,0,0,50,3,76,100,100,31,B,D,B,C,D,C,B,D,C,C,E (Describes me very well),C,C,D,B,C,D,C,D,C,E (Describes me very well),C,D,B,B,D,C,E (Describes me very well)
