subID, run, pres_order, foundation, vigfile, vignum, vigtext, moral_decision, trialstart_raw, trialstart_zeroed, trialstart_TR, trialdur, RT, intended_jitter, ITI_start_raw, ITI_start_zeroed, ITI_start_TR, ITI_duration, ITI_accuracy
8,1,99999,99999,99999,99999,99999,99999,8,0,0,1,99999,99999,9,1,0.5,1,99999
8,1,1, lib, lib09.jpg,69, You_see_a_woman_pressuring_her_daughter_to_become_a_famous_evening_news_anchor.,2,10.043804,2.043804,1.021902,6,6.000061,6,16.044478,8.044478,4.022239,6.00461,1
8,1,2, pur, pur03.jpg,93, You_see_a_drunk_elderly_man_offering_to_have_oral_sex_with_anyone_in_the_bar., NaN,22.06017,14.06017,7.030085,6, NaN,5,28.060253,20.060253,10.030127,6.00169,1
8,1,3, socn, socnorm12.jpg,117, You_see_a_woman_watching_a_game_on_television_in_black-and-white_instead_of_color.,1,34.076801,26.076801,13.038401,6,2.908234,3,40.076829,32.076829,16.038414,3.001184,1
8,1,4, fair, fair01.jpg,46, You_see_a_student_copying_a_classmate's_answer_sheet_on_a_makeup_final_exam.,4,43.093442,35.093442,17.546721,6,4.422247,8,49.093552,41.093552,20.546776,9.001716,1
8,1,5, carem, careemo08.jpg,23, You_see_a_teenage_girl_openly_staring_at_a_disfigured_woman_as_she_walks_past.,1,58.110135,50.110135,25.055067,6,4.546325,6,64.110228,56.110228,28.055114,6.001282,0.75
8,1,6, fair, fair12.jpg,57, You_see_a_boy_skipping_to_the_front_of_the_line_because_his_friend_is_an_employee.,2,70.126773,62.126773,31.063387,6,5.796597,5,76.126814,68.126814,34.063407,6.001523,1
8,1,7, auth, auth04.jpg,4, You_see_an_intern_disobeying_an_order_to_dress_professionally_and_comb_his_hair.,1,82.14343,74.14343,37.071715,6,5.686484,4,88.143483,80.143483,40.071742,4.501383,1
8,1,8, carep, carephys05.jpg,35, You_see_a_man_lashing_his_pony_with_a_whip_for_breaking_loose_from_its_pen.,2,92.660059,84.660059,42.33003,6,4.316695,3,98.660129,90.660129,45.330064,3.001042,1
8,1,9, loy, loy10.jpg,85, You_see_a_Hollywood_star_agreeing_with_a_foreign_dictator's_denunciation_of_the_US.,1,101.676715,93.676715,46.838358,6,3.978682,5,107.676797,99.676797,49.838399,6.001373,1
8,1,10, socn, socnorm07.jpg,112, You_see_a_man_eating_a_bowl_cereal_in_the_morning_with_water_instead_of_milk.,1,113.693402,105.693402,52.846701,6,3.470822,3,119.693438,111.693438,55.846719,3.001169,1
8,1,11, carem, careemo01.jpg,16, You_see_a_teenage_boy_chuckling_at_an_amputee_he_passes_by_while_on_the_subway.,2,122.710052,114.710052,57.355026,6,4.796029,3,128.710063,120.710063,60.355031,3.001079,1
8,1,12, carem, careemo14.jpg,29, You_see_a_girl_telling_her_classmate_that_she_looks_like_she_has_gained_weight.,2,131.726705,123.726705,61.863353,6,4.393013,2,137.72677,129.72677,64.863385,3.001079,1
8,1,13, pur, pur07.jpg,97, You_see_a_woman_having_intimate_relations_with_a_recently_deceased_loved_one.,4,140.743365,132.743365,66.371682,6,3.853497,5,146.743471,138.743471,69.371736,6.001426,1
8,1,14, loy, loy03.jpg,78, You_see_a_former_US_General_saying_publicly_he_would_never_buy_any_American_product.,1,152.760024,144.760024,72.380012,6,5.466602,3,158.760084,150.760084,75.380042,3.001146,1
8,1,15, auth, auth08.jpg,8, You_see_a_player_publicly_yelling_at_his_soccer_coach_during_a_playoff_game.,1,161.776673,153.776673,76.888336,6,3.442506,6,167.776691,159.776691,79.888345,6.001388,1
8,1,16, socn, socnorm09.jpg,114, You_see_a_man_putting_ketchup_all_over_his_chicken_Caesar_salad_while_at_lunch.,1,173.793332,165.793332,82.896666,6,3.648434,6,179.793396,171.793396,85.896698,6.001288,1
8,1,17, lib, lib13.jpg,73, You_see_a_teacher_ordering_a_student_to_get_a_normal_haircut_before_coming_to_class.,1,185.809994,177.809994,88.904997,6,5.843651,2,191.810003,183.810003,91.905001,3.000999,1
8,1,18, lib, lib01.jpg,61, You_see_a_man_telling_his_fiancee_that_she_has_to_switch_to_his_political_party.,2,194.826655,186.826655,93.413327,6,5.683689,2,200.826767,192.826767,96.413383,3.001107,1
8,1,19, fair, fair05.jpg,50, You_see_a_referee_intentionally_making_bad_calls_that_help_his_favored_team_win.,3,203.843334,195.843334,97.921667,6,3.879867,5,209.843405,201.843405,100.921702,6.001336,0.75
8,1,20, lib, lib15.jpg,75, You_see_a_mayor_trying_to_ban_people_from_hugging_and_kissing_in_public_in_his_city.,1,215.859958,207.859958,103.929979,6,5.776063,8,221.860032,213.860032,106.930016,9.00159,0.833333
8,1,21, carep, carephys14.jpg,44, You_see_a_woman_spanking_her_child_with_a_spatula_for_getting_bad_grades_in_school.,2,230.876604,222.876604,111.438302,6,5.09004,4,236.876708,228.876708,114.438354,4.501317,1
8,1,22, socn, socnorm02.jpg,107, You_see_a_man_staying_inside_his_home_with_the_shades_drawn_on_a_rare_sunny_day.,1,241.393258,233.393258,116.696629,6,3.491281,7,247.393271,239.393271,119.696635,7.501518,1
8,1,23, socn, socnorm03.jpg,108, You_see_a_woman_drinking_her_entire_cup_of_coffee_using_a_stirring_spoon.,1,254.909922,246.909922,123.454961,6,2.980341,2,260.909942,252.909942,126.454971,3.001079,1
8,1,24, carep, carephys11.jpg,41, You_see_a_boy_placing_a_thumbtack_sticking_up_on_the_chair_of_another_student.,4,263.926566,255.926566,127.963283,6,4.129313,2,269.92667,261.92667,130.963335,3.001032,1
8,1,25, pur, pur12.jpg,102, You_see_a_man_searching_through_the_trash_to_find_women's_discarded_underwear.,3,272.943218,264.943218,132.471609,6,4.066509,2,278.943285,270.943285,135.471643,3.001064,1
8,1,26, pur, pur15.jpg,105, You_see_a_college_student_drinking_until_she_vomits_on_herself_and_falls_asleep.,2,281.959889,273.959889,136.979945,6,3.697896,7,287.959956,279.959956,139.979978,7.501543,1
8,1,27, loy, loy12.jpg,87, You_see_an_American_telling_foreigners_that_the_US_is_an_evil_force_in_the_world.,1,295.476561,287.476561,143.738281,6,5.295916,4,301.476658,293.476658,146.738329,4.501175,1
8,1,28, fair, fair02.jpg,47, You_see_a_runner_taking_a_shortcut_on_the_course_during_the_marathon_in_order_to_win.,4,305.993177,297.993177,148.996589,6,3.532991,2,311.993235,303.993235,151.996618,3.00111,1
8,1,29, auth, auth14.jpg,14, You_see_a_student_stating_that_her_professor_is_a_fool_during_an_afternoon_class.,1,315.009858,307.009858,153.504929,6,5.926129,7,321.009868,313.009868,156.504934,7.50156,1
8,1,30, pur, pur05.jpg,95, You_see_a_man_in_a_bar_using_his_phone_to_watch_people_having_sex_with_animals., NaN,328.526523,320.526523,160.263261,6, NaN,5,334.526634,326.526634,163.263317,6.001469,1
8,1,31, carep, carephys01.jpg,31, You_see_a_woman_swerving_her_car_in_order_to_intentionally_run_over_a_squirrel.,4,340.543197,332.543197,166.271599,6,3.013557,3,346.543302,338.543302,169.271651,3.00111,1
8,1,32, fair, fair08.jpg,53, You_see_an_employee_lying_about_how_many_hours_she_worked_during_the_week.,3,349.559815,341.559815,170.779908,6,3.237513,9,355.559883,347.559883,173.779942,9.001643,1
8,1,33, loy, loy09.jpg,84, You_see_a_class_president_saying_on_TV_that_her_rival_college_is_a_better_school.,1,364.576521,356.576521,178.28826,6,5.212494,6,370.576609,362.576609,181.288305,6.001465,1
8,1,34, auth, auth07.jpg,7, You_see_an_employee_trying_to_undermine_all_of_her_bosss_ideas_in_front_of_others.,1,376.609834,368.609834,184.304917,6,4.531663,4,382.609937,374.609937,187.304969,4.501273,1
8,1,35, carem, careemo13.jpg,28, You_see_a_girl_telling_a_boy_that_his_older_brother_is_much_more_attractive_than_him.,1,387.126469,379.126469,189.563234,6,4.289022,3,393.126501,385.126501,192.563251,3.001034,1
8,1,36, carem, careemo09.jpg,24, You_see_a_boy_making_fun_of_his_brother_for_getting_dumped_by_his_girlfriend.,1,396.143116,388.143116,194.071558,6,4.210193,6,402.143126,394.143126,197.071563,6.001371,1
8,1,37, loy, loy15.jpg,90, You_see_a_US_swimmer_cheering_as_a_Chinese_foe_beats_his_teammate_to_win_the_gold.,1,408.159785,400.159785,200.079892,6,4.190184,6,414.159895,406.159895,203.079948,6.001338,1
8,1,38, lib, lib12.jpg,72, You_see_a_father_requiring_his_son_to_take_up_the_family_restaurant_business.,2,420.176433,412.176433,206.088216,6,3.490449,4,426.176452,418.176452,209.088226,4.501132,1
