subID, run, pres_order, foundation, vigfile, vignum, vigtext, moral_decision, trialstart_raw, trialstart_zeroed, trialstart_TR, trialdur, RT, intended_jitter, ITI_start_raw, ITI_start_zeroed, ITI_start_TR, ITI_duration, ITI_accuracy
26,1,99999,99999,99999,99999,99999,99999,8,0,0,1,99999,99999,9,1,0.5,1,99999
26,1,1, socn, socnorm03.jpg,108, You_see_a_woman_drinking_her_entire_cup_of_coffee_using_a_stirring_spoon.,1,10.058848,2.058848,1.029424,6,3.369338,6,16.059394,8.059394,4.029697,6.004731,1
26,1,2, lib, lib06.jpg,66, You_see_a_mother_telling_her_son_that_she_is_going_to_choose_all_of_his_friends.,3,22.12521,14.12521,7.062605,6,3.879814,4.50E+00,28.125289,20.125289,10.062644,4.501662,1
26,1,3, auth, auth04.jpg,4, You_see_an_intern_disobeying_an_order_to_dress_professionally_and_comb_his_hair.,2,32.658487,24.658487,12.329244,6,3.905196,7.50E+00,38.658498,30.658498,15.329249,7.501632,1
26,1,4, socn, socnorm11.jpg,116, You_see_someone_driving_around_in_a_dirty_car_that_has_not_been_washed_recently.,1,46.19185,38.19185,19.095925,6,5.17451,3,52.191963,44.191963,22.095982,3.001197,1
26,1,5, loy, loy08.jpg,83, You_see_a_head_cheerleader_booing_her_high_school's_team_during_a_homecoming_game.,2,55.225142,47.225142,23.612571,6,4.722042,9,61.225227,53.225227,26.612613,9.001924,1
26,1,6, loy, loy10.jpg,85, You_see_a_Hollywood_star_agreeing_with_a_foreign_dictator's_denunciation_of_the_US.,3,70.241899,62.241899,31.12095,6,5.638016,4.50E+00,76.24194,68.24194,34.12097,4.501273,1
26,1,7, pur, pur02.jpg,92, You_see_a_family_eating_the_carcass_of_their_pet_dog_that_had_been_run_over.,4,80.758437,72.758437,36.379218,6,4.402133,3,86.758522,78.758522,39.379261,3.001172,1
26,1,8, carep, carephys15.jpg,45, You_see_a_wife_hitting_her_husband_on_the_side_of_his_head_for_coming_home_late.,3,89.775119,81.775119,40.887559,6,4.035251,6,95.775164,87.775164,43.887582,6.001275,1
26,1,9, auth, auth02.jpg,2, You_see_a_woman_refusing_to_stand_when_the_judge_walks_into_the_courtroom.,3,101.791807,93.791807,46.895904,6,4.052538,3,107.79192,99.79192,49.89596,3.001128,1
26,1,10, lib, lib02.jpg,62, You_see_a_father_requiring_his_son_to_become_a_commercial_airline_pilot_like_him.,2,110.808427,102.808427,51.404214,6,3.797499,7.50E+00,116.808486,108.808486,54.404243,7.501408,1
26,1,11, fair, fair12.jpg,57, You_see_a_boy_skipping_to_the_front_of_the_line_because_his_friend_is_an_employee.,2,124.325125,116.325125,58.162562,6,3.820688,4.50E+00,130.32518,122.32518,61.16259,4.501154,0.666667
26,1,12, fair, fair06.jpg,51, You_see_a_judge_taking_on_a_criminal_case_although_he_is_friends_with_the_defendant.,3,134.841718,126.841718,63.420859,6,4.3598,7.50E+00,140.841794,132.841794,66.420897,7.501514,1
26,1,13, lib, lib09.jpg,69, You_see_a_woman_pressuring_her_daughter_to_become_a_famous_evening_news_anchor.,2,148.37507,140.37507,70.187535,6,3.710022,3,154.375084,146.375084,73.187542,3.001088,1
26,1,14, auth, auth15.jpg,15, You_see_a_star_player_ignoring_her_coach's_order_to_come_to_the_bench_during_a_game.,2,157.408412,149.408412,74.704206,6,4.665535,6,163.4085,155.4085,77.70425,6.001358,1
26,1,15, loy, loy11.jpg,86, You_see_a_college_president_singing_a_rival_school's_fight_song_during_a_pep_rally.,2,169.441731,161.441731,80.720865,6,4.906837,3,175.441788,167.441788,83.720894,3.001098,1
26,1,16, socn, socnorm01.jpg,106, You_see_someone_using_an_old_rotary_phone_and_refusing_to_go_buy_a_new_one.,1,178.475071,170.475071,85.237536,6,4.257371,7.50E+00,184.475111,176.475111,88.237556,7.50142,1
26,1,17, loy, loy02.jpg,77, You_see_a_coach_celebrating_with_the_opposing_team's_players_who_just_won_the_game.,3,191.991706,183.991706,91.995853,6,4.801487,4.50E+00,197.991748,189.991748,94.995874,4.501187,1
26,1,18, loy, loy14.jpg,89, You_see_a_former_Secretary_of_State_publicly_giving_up_his_citizenship_to_the_US.,4,202.508336,194.508336,97.254168,6,4.777639,6,208.508437,200.508437,100.254218,6.001455,1
26,1,19, carep, carephys10.jpg,40, You_see_a_girl_throwing_her_hot_coffee_on_a_woman_who_is_dating_her_ex-boyfriend.,4,214.541751,206.541751,103.270875,6,4.069049,4.50E+00,220.54183,212.54183,106.270915,4.501252,1
26,1,20, lib, lib05.jpg,65, You_see_a_man_telling_his_girlfriend_that_she_must_convert_to_his_religion.,3,225.058315,217.058315,108.529158,6,3.737154,4.50E+00,231.058367,223.058367,111.529183,4.501195,1
26,1,21, fair, fair14.jpg,59, You_see_a_professor_giving_a_bad_grade_to_a_student_just_because_he_dislikes_him.,4,235.591631,227.591631,113.795816,6,4.492655,4.50E+00,241.591715,233.591715,116.795857,4.501258,1
26,1,22, carem, careemo15.jpg,30, You_see_a_man_laughing_at_a_disabled_co-worker_while_at_an_office_softball_game.,3,246.108322,238.108322,119.054161,6,4.601883,6,252.10838,244.10838,122.05419,6.001562,0.75
26,1,23, fair, fair07.jpg,52, You_see_a_student_getting_an_A_on_a_group_project_when_he_didn't_do_his_part.,2,258.12498,250.12498,125.06249,6,3.277845,6,264.125009,256.125009,128.062504,6.001367,1
26,1,24, socn, socnorm02.jpg,107, You_see_a_man_staying_inside_his_home_with_the_shades_drawn_on_a_rare_sunny_day.,1,270.141633,262.141633,131.070817,6,3.813024,6,276.141694,268.141694,134.070847,6.001329,1
26,1,25, socn, socnorm12.jpg,117, You_see_a_woman_watching_a_game_on_television_in_black-and-white_instead_of_color.,1,282.158302,274.158302,137.079151,6,3.448214,3,288.158355,280.158355,140.079177,3.001022,1
26,1,26, carem, careemo08.jpg,23, You_see_a_teenage_girl_openly_staring_at_a_disfigured_woman_as_she_walks_past.,2,291.174948,283.174948,141.587474,6,4.77214,6,297.175069,289.175069,144.587534,6.001305,1
26,1,27, auth, auth11.jpg,11, You_see_a_staff_member_talking_loudly_and_interrupting_the_mayor's_speech_to_the_public.,3,303.208276,295.208276,147.604138,6,4.194606,4.50E+00,309.208319,301.208319,150.60416,4.501147,1
26,1,28, fair, fair09.jpg,54, You_see_a_woman_getting_hired_only_because_her_father_is_close_friends_with_the_boss.,3,313.724914,305.724914,152.862457,6,3.934029,4.50E+00,319.725009,311.725009,155.862504,4.501153,1
26,1,29, carem, careemo11.jpg,26, You_see_a_man_telling_a_woman_that_her_painting_looks_like_it_was_done_by_children.,2,324.258228,316.258228,158.129114,6,3.834167,3,330.258286,322.258286,161.129143,3.001127,1
26,1,30, carem, careemo14.jpg,29, You_see_a_girl_telling_her_classmate_that_she_looks_like_she_has_gained_weight.,3,333.274883,325.274883,162.637442,6,3.598257,3,339.274981,331.274981,165.63749,3.001162,1
26,1,31, carep, carephys11.jpg,41, You_see_a_boy_placing_a_thumbtack_sticking_up_on_the_chair_of_another_student.,3,342.291526,334.291526,167.145763,6,4.383745,3,348.291636,340.291636,170.145818,3.001134,1
26,1,32, carep, carephys03.jpg,33, You_see_someone_leaving_his_dog_outside_in_the_rain_after_it_dug_in_the_trash.,3,351.3082,343.3082,171.6541,6,4.538802,4.50E+00,357.308239,349.308239,174.654119,4.501283,1
26,1,33, lib, lib04.jpg,64, You_see_a_manager_coercing_her_employees_into_eating_at_her_brother's_diner.,2,361.824845,353.824845,176.912423,6,4.472967,6,367.824934,359.824934,179.912467,6.001336,0.75
26,1,34, pur, pur07.jpg,97, You_see_a_woman_having_intimate_relations_with_a_recently_deceased_loved_one.,3,373.841618,365.841618,182.920809,6,5.262856,4.50E+00,379.841634,371.841634,185.920817,4.501223,1
26,1,35, pur, pur09.jpg,99, You_see_an_employee_at_a_morgue_eating_his_pepperoni_pizza_off_of_a_dead_body.,4,384.358173,376.358173,188.179087,6,3.491274,4.50E+00,390.358261,382.358261,191.179131,4.501229,1
26,1,36, pur, pur14.jpg,104, You_see_a_very_drunk_woman_making_out_with_multiple_strangers_on_the_city_bus.,3,394.891514,386.891514,193.445757,6,4.130426,3,400.89154,392.89154,196.44577,3.001075,0.5
26,1,37, auth, auth14.jpg,14, You_see_a_student_stating_that_her_professor_is_a_fool_during_an_afternoon_class.,2,403.908126,395.908126,197.954063,6,4.60687,4.50E+00,409.90818,401.90818,200.95409,4.501324,1
26,1,38, pur, pur06.jpg,96, You_see_a_teenage_male_in_a_dorm_bathroom_secretly_using_a_stranger's_toothbrush.,3,414.424794,406.424794,203.212397,6,4.241859,7.50E+00,420.424905,412.424905,206.212452,7.5015,1
26,1,39, carep, carephys01.jpg,31, You_see_a_woman_swerving_her_car_in_order_to_intentionally_run_over_a_squirrel.,4,427.941484,419.941484,209.970742,6,4.350817,3,433.941555,425.941555,212.970778,3.001118,1
26,1,40, carem, careemo10.jpg,25, You_see_a_man_loudly_telling_his_wife_that_the_dinner_she_cooked_tastes_awful.,2,436.958141,428.958141,214.47907,6,3.940028,6,442.958237,434.958237,217.479118,6.001319,1
26,2,99999,99999,99999,99999,99999,99999,8,0,0,1,99999,99999,9,1,0.5,1,99999
26,2,1, socn, socnorm07.jpg,112, You_see_a_man_eating_a_bowl_cereal_in_the_morning_with_water_instead_of_milk.,1,10.046693,2.046693,1.023347,6,3.057281,6,16.047273,8.047273,4.023636,6.007523,1
26,2,2, lib, lib15.jpg,75, You_see_a_mayor_trying_to_ban_people_from_hugging_and_kissing_in_public_in_his_city.,3,22.129746,14.129746,7.064873,6,3.777894,7.50E+00,28.129775,20.129775,10.064887,7.501926,1
26,2,3, auth, auth01.jpg,1, You_see_a_girl_ignoring_her_fathers_orders_by_taking_the_car_after_her_curfew.,3,35.646381,27.646381,13.823191,6,4.133024,4.50E+00,41.646441,33.646441,16.823221,4.501291,1
26,2,4, loy, loy01.jpg,76, You_see_an_employee_joking_with_competitors_about_how_bad_his_company_did_last_year.,2,46.179668,38.179668,19.089834,6,3.522695,3,52.17969,44.17969,22.089845,3.001086,0.5
26,2,5, lib, lib08.jpg,68, You_see_a_boss_pressuring_employees_to_buy_goods_from_her_family's_general_store.,2,55.196324,47.196324,23.598162,6,4.60489,4.50E+00,61.19641,53.19641,26.598205,4.501301,1
26,2,6, carem, careemo05.jpg,20, You_see_a_boy_telling_a_woman_that_she_looks_just_like_her_overweight_bulldog.,3,65.729651,57.729651,28.864825,6,3.946145,3,71.729727,63.729727,31.864864,3.00115,1
26,2,7, auth, auth05.jpg,5, You_see_a_teenage_girl_coming_home_late_and_ignoring_her_parents_strict_curfew.,2,74.746329,66.746329,33.373164,6,3.71539,7.50E+00,80.746406,72.746406,36.373203,7.501553,1
26,2,8, carep, carephys12.jpg,42, You_see_a_woman_slapping_another_woman_who_she_is_arguing_with_in_the_parking_lot.,3,88.262982,80.262982,40.131491,6,3.621368,4.50E+00,94.263004,86.263004,43.131502,4.501354,1
26,2,9, carep, carephys13.jpg,43, You_see_a_teacher_hitting_a_student's_hand_with_a_ruler_for_falling_asleep_in_class.,4,98.84631,90.84631,45.423155,6,3.820765,3,104.846342,96.846342,48.423171,3.001162,1
26,2,10, fair, fair04.jpg,49, You_see_a_soccer_player_pretending_to_be_seriously_fouled_by_an_opposing_player.,2,107.87963,99.87963,49.939815,6,3.643461,4.50E+00,113.879731,105.879731,52.939865,4.501328,1
26,2,11, carem, careemo04.jpg,19, You_see_a_man_quickly_canceling_a_blind_date_as_soon_as_he_sees_the_woman.,3,118.396257,110.396257,55.198128,6,3.686371,4.50E+00,124.396267,116.396267,58.198134,4.501185,0.666667
26,2,12, carem, careemo02.jpg,17, You_see_a_girl_laughing_at_another_student_forgetting_her_lines_at_a_school_play.,2,128.912923,120.912923,60.456461,6,3.497459,3,134.912994,126.912994,63.456497,3.00103,1
26,2,13, loy, loy09.jpg,84, You_see_a_class_president_saying_on_TV_that_her_rival_college_is_a_better_school.,2,137.929569,129.929569,64.964785,6,3.620748,6,143.929645,135.929645,67.964822,6.001415,1
26,2,14, lib, lib14.jpg,74, You_see_a_teenager_at_a_cafeteria_forcing_a_younger_student_to_pay_for_her_lunch.,3,149.946242,141.946242,70.973121,6,3.57077,6,155.946266,147.946266,73.973133,6.001591,0.75
26,2,15, fair, fair15.jpg,60, You_see_a_politician_using_federal_tax_dollars_to_build_an_extension_on_his_home.,4,161.962899,153.962899,76.981449,6,4.12494,6,167.96301,159.96301,79.981505,6.001512,1
26,2,16, carem, careemo09.jpg,24, You_see_a_boy_making_fun_of_his_brother_for_getting_dumped_by_his_girlfriend.,2,173.979582,165.979582,82.989791,6,2.882048,4.50E+00,179.979674,171.979674,85.989837,4.501341,1
26,2,17, carep, carephys07.jpg,37, You_see_a_woman_snatching_away_her_dog's_food_for_making_a_mess_in_the_living_room.,2,184.496192,176.496192,88.248096,6,4.008172,9,190.496239,182.496239,91.24812,9.001776,1
