subID, vignette, correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
34,"	 You see the head of a law firm ordering her juniors to __ every day."""," ""shine her shoes"""," ""wash her car"""," ""shine her shoes"""," ""get her coffee""", 4$,4.203674, 3#,4.988067
34,"	 You see a former US __ saying publicly he would never buy any American product."""," ""general"""," ""general"""," ""congressman"""," ""president""", 1!,3.181003, 3#,5.279722
34,"	 You see a girl ignoring her father's orders by taking the car __."""," ""after her curfew"""," ""out while grounded"""," ""without permission"""," ""after her curfew""", 3#,3.484731, 3#,4.282654
34,"	 You see a boy tripping a classmate in order to be the first __."""," ""in the cafeteria line"""," ""in the cafeteria line"""," ""on the schoolbus"""," ""out on the playground""", 4$,3.958409, 3#,4.811886
34,"	 You see a girl and her __ making out with each other just for practice."""," ""sister"""," ""cousin"""," ""brother"""," ""sister""", 3#,4.429972, 3#,5.279574
34,"	 You see a teenage girl wearing a long __ on a hot summer afternoon."""," ""trench coat"""," ""trench coat"""," ""wool coat"""," ""bath robe""", 1!,3.296813, 3#,4.064468
34,"	 You see a woman having sex with an extremely obese man in exchange for __."""," ""fifteen dollars"""," ""twenty dollars"""," ""fifteen dollars"""," ""twenty-five dollars""", 4$,2.805833, 3#,3.652607
34,"	 You see a man forbidding his wife to __ that he has not first approved."""," ""wear clothing"""," ""read books"""," ""wear clothing"""," ""see movies""", 2@,3.632761, 2@,4.43678
34,"	 You see a man in a bar using his __ to watch people having sex with animals."""," ""phone"""," ""iPad"""," ""phone"""," ""laptop""", 2@,5.034264, 3#,5.811104
34,"	 You see a teenage boy offering his classmate money to write his __."""," ""history essay"""," ""book report"""," ""biology paper"""," ""history essay""", 4$,2.713385, 3#,3.494406
34,"	 You see a zoo trainer jabbing __ to get it to entertain his customers."""," ""a dolphin"""," ""a panda"""," ""a dolphin"""," ""an elephant""", 2@,3.401694, 3#,4.163384
34,"	 You see a woman slapping another woman who she is arguing with in the __."""," ""parking lot"""," ""hotel lobby"""," ""parking lot"""," ""grocery store""", 2@,3.686636, 3#,4.500978
34,"	 You see __ getting married to each other in an elaborate wedding."""," ""two first cousins"""," ""an uncle and niece"""," ""two first cousins"""," ""two sisters""", 2@,6.482385, 3#,7.348501
34,"	 You see a woman watching __ on television in black-and-white instead of color."""," ""a game"""," ""a game"""," ""the soap opera"""," ""the news""", 1!,5.099737, 2@,6.043225
34,"	 You see an employee at a morgue eating his __ pizza off of a dead body."""," ""pepperoni"""," ""cheese"""," ""pepperoni"""," ""sausage""", 2@,2.835041, 3#,3.821114
34,"	 You see a __ drinking until she vomits on herself and falls asleep."""," ""college student"""," ""college student"""," ""teenager"""," ""high schooler""", 1!,4.12951, 3#,5.70503
