subID, vignette, correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
34,"	 You see a family eating the carcass of their pet __ that had been run over."""," ""dog"""," ""kitten"""," ""turtle"""," ""dog""", 3#,3.34092, 3#,6.019827
34,"	 You see a girl laughing when she realizes her friend's dad is the __ ."""," ""janitor"""," ""janitor"""," ""school nurse"""," ""schoolbus driver""", 1!,5.628579, 3#,7.265607
34,"	 You see an employee receiving __ for work that was really done by others."""," ""a bonus"""," ""a bonus"""," ""praise"""," ""an award""", 4$,4.44774, 3#,5.802666
34,"	 You see a teacher hitting a student's hand with a ruler for __ in class."""," ""falling asleep"""," ""falling asleep"""," ""passing notes"""," ""daydreaming""", 1!,3.695378, 3#,5.338431
34,"	 You see a principal publicly wishing that a rival school wins __."""," ""a prestigious grant"""," ""the tournament"""," ""a prestigious grant"""," ""the choir competition""", 1!,7.830264, 1!,9.150761
34,"	 You see a wife turning in her husband to the police for __."""," ""overdue parking fines"""," ""overdue parking fines"""," ""littering on the sidewalk"""," ""illegal music downloads""", 4$,4.177522, 3#,5.069941
34,"	 You see a girl shooting geese repeatedly with a pellet gun out __."""," ""in the woods"""," ""in her backyard"""," ""at the pond"""," ""in the woods""", 3#,3.602028, 2@,4.596076
34,"	 You see a politician using federal tax dollars to build an extension on his __."""," ""home"""," ""home"""," ""beach condo"""," ""lake house""", 1!,4.680769, 2@,5.526135
34,"	 You see a woman using a fork to eat a bowl of __ ice cream and marshmallows."""," ""vanilla"""," ""chocolate"""," ""vanilla"""," ""strawberry""", 2@,4.973267, 3#,6.61233
34,"	 You see a woman throwing a stapler at her colleague who is __ during her talk."""," ""snoring"""," ""snoring"""," ""whispering"""," ""laughing""", 1!,4.657782, 3#,5.529353
34,"	 You see a manager coercing her employees into eating at her brother's __."""," ""diner"""," ""café"""," ""restaurant"""," ""diner""", 3#,4.500566, 3#,5.386914
34,"	 You see a customer greeting every stranger she sees while __."""," ""in a coffee shop"""," ""sitting at the bar"""," ""waiting in the lobby"""," ""in a coffee shop""", 4$,4.333471, 3#,5.82039
34,"	 You see a woman __ when the judge walks into the courtroom."""," ""refusing to stand"""," ""refusing to stand"""," ""raise her middle finger"""," ""talking on her phone""", 1!,3.378821, 3#,4.362438
34,"	 You see a __ intentionally making bad calls that help his favored team win."""," ""referee"""," ""umpire"""," ""line judge"""," ""referee""", 3#,3.624546, 3#,4.534738
34,"	 You see a girl saying that another girl is too ugly to __."""," ""be a varsity cheerleader"""," ""be a varsity cheerleader"""," ""find a prom date"""," ""be her bridesmaid""", 1!,3.792337, 3#,4.869936
34,"	 You see a mother preventing her teenage son from wearing __ clothes to school."""," ""pink"""," ""lavender"""," ""purple"""," ""pink""", 4$,5.795827, 3#,6.649362
34,"	 You see a boy skipping to the front of the line because his friend is __."""," ""an employee"""," ""the manager"""," ""a cashier"""," ""an employee""", 3#,4.158949, 3#,5.048297
34,"	 You see a very drunk woman making out with multiple strangers __."""," ""on the city bus"""," ""on the city bus"""," ""at the gas station"""," ""at the subway stop""", 1!,3.478657, 3#,5.870247
34,"	 You see a man leaving his family business to go work __."""," ""for their main competitor"""," ""for their main competitor"""," ""somewhere that pays better"""," ""for a start-up""", 1!,4.288999, 3#,5.476008
34,"	 You see a teenage girl forbidding friends from ever disagreeing with her __."""," ""in public"""," ""on Facebook"""," ""about fashion"""," ""in public""", 4$,3.267219, 3#,5.318046
34,"	 You see a teenage male in a dorm bathroom secretly using a stranger's __."""," ""toothbrush"""," ""toothbrush"""," ""towel"""," ""razor""", 1!,2.642335, 3#,3.513676
34,"	 You see an employee trying to undermine her boss's __."""," ""ideas"""," ""financial strategy"""," ""ideas"""," ""credibility""", 4$,5.387565, 2@,6.239828
34,"	 You see a boy placing a thumbtack sticking up on the __ of another student."""," ""chair"""," ""seat"""," ""chair"""," ""stool""", 2@,6.293047, 1!,7.078991
34,"	 You see a girl laughing at another student forgetting her lines __ ."""," ""at a school play"""," ""at a school play"""," ""at a poetry recital"""," ""in front of everyone""", 1!,3.484813, 3#,4.348711
34,"	 You see a teenage girl at __ mocking a man's stuttering speech."""," ""the local mall"""," ""the post office"""," ""a café"""," ""the local mall""", 4$,4.658248, 3#,5.456474
34,"	 You see a professor forcing all her students to write papers supporting her __."""," ""views"""," ""views"""," ""theories"""," ""beliefs""", 4$,3.036778, 3#,4.451456
34,"	 You see a runner taking a shortcut on the course during the __ in order to win."""," ""marathon"""," ""relay race"""," ""triathlon"""," ""marathon""", 3#,3.18955, 3#,6.356304
34,"	 You see a teenage woman carrying an open umbrella on a cloudless day in __."""," ""October"""," ""September"""," ""November"""," ""October""", 4$,3.077013, 3#,3.932094
34,"	 You see a woman squeezing a baby's __ hard because it will not stop crying."""," ""arm"""," ""shoulder"""," ""arm"""," ""foot""", 4$,2.897313, 3#,4.133364
34,"	 You see a woman continuing to wear a __ inside her apartment complex."""," ""large sun hat"""," ""pair of sunglasses"""," ""big shady visor"""," ""large sun hat""", 3#,3.981419, 3#,4.894418
34,"	 You see a man refusing to allow his daughter to participate in any __."""," ""type of sports"""," ""after school clubs"""," ""type of sports"""," ""co-ed activities""", 4$,3.50506, 3#,5.183103
34,"	 You see a woman spanking her child with a __ for getting bad grades in school."""," ""spatula"""," ""rolling pin"""," ""spatula"""," ""wooden spoon""", 3#,7.289899, 1!,10.341911
34,"	 You see someone reading the ending of a __ novel before reading the beginning."""," ""spy"""," ""fantasy"""," ""spy"""," ""mystery""", 2@,3.52533, 3#,5.346952
34,"	 You see a man lashing his __ with a whip for breaking loose from its pen."""," ""pony"""," ""donkey"""," ""pony"""," ""goat""", 2@,5.498694, 3#,8.535532
34,"	 You see a teenager urinating in the wave pool at a crowded __ park."""," ""amusement"""," ""water"""," ""theme"""," ""amusement""", 1!,4.92525, 3#,6.303078
34,"	 You see a teenage girl drinking a _ of her friend's urine on a dare."""," ""cup"""," ""bottle"""," ""mug"""," ""cup""", 4$,6.079506, 3#,7.453723
34,"	 You see a professor giving a __ grade to a student just because he dislikes him."""," ""bad"""," ""bad"""," ""lower"""," ""failing""", 1!,3.692303, 2@,5.777776
34,"	 You see a teenager at a cafeteria forcing a younger student to__."""," ""pay for her lunch"""," ""get her a soda"""," ""pay for her lunch"""," ""sit somewhere else""", 2@,3.582191, 3#,4.549937
34,"	 You see a teenage boy chuckling at an amputee he passes by while on the __."""," ""subway"""," ""sidewalk"""," ""train"""," ""subway""", 3#,6.271092, 1!,7.174538
34,"	 You see a woman happily admitting that she has not paid any taxes in over __ years."""," ""ten"""," ""ten"""," ""two"""," ""five""", 4$,3.490773, 3#,4.720187
34,"	 You see a group of women having a long and loud conversation __."""," ""during a church sermon"""," ""during a church sermon"""," ""with a funeral nearby"""," ""during a meditation class""", 1!,3.643385, 3#,4.573493
34,"	 You see a girl throwing __ on a woman who is dating her ex-boyfriend."""," ""her hot coffee"""," ""her hot coffee"""," ""a glass of wine"""," ""her hot tea""", 1!,2.623569, 3#,4.15941
34,"	 You see a student stating that her professor is __ during an afternoon class."""," ""a fool"""," ""a moron"""," ""a fool"""," ""an idiot""", 2@,4.30164, 3#,6.087511
34,"	 You see a man entering __ while still wearing all his work clothes."""," ""a hot tub"""," ""a hot tub"""," ""a swimming pool"""," ""the shower""", 4$,2.9636, 3#,4.370548
34,"	 You see someone leaving his dog outside in the rain after it dug in the __."""," ""trash"""," ""vegetable garden"""," ""trash"""," ""sandbox""", 2@,4.302228, 3#,5.070526
34,"	 You see a boy laughing at another student for his poor score on __."""," ""the final exam"""," ""the final exam"""," ""his report card"""," ""the standardized test""", 4$,3.023834, 3#,4.466698
34,"	 You see a track coach quitting in the middle of the season after __."""," ""winning the lottery"""," ""inheriting lots of money"""," ""winning the lottery"""," ""marrying a wealthy man""", 4$,3.934054, 3#,4.959681
34,"	 You see a woman with __ hair riding a unicycle to work every day."""," ""blue and orange"""," ""purple and pink"""," ""green and black"""," ""blue and orange""", 4$,3.068488, 3#,4.782745
34,"	 You see a woman clearly avoiding sitting next to an obese woman __."""," ""on the bus"""," ""on the bus"""," ""in the lobby"""," ""in a theater""", 1!,3.047225, 3#,4.503661
34,"	 You see a woman throwing her cat across the room for __."""," ""scratching the furniture"""," ""jumping on the bed"""," ""scratching the furniture"""," ""not using the litterbox""", 2@,3.176807, 3#,4.876435
34,"	 You see a man walking down a dark __ while still wearing his sunglasses."""," ""hallway"""," ""hallway"""," ""alley"""," ""staircase""", 2@,5.942419, 2@,7.157689
34,"	 You see an employee joking with competitors about how bad his company did __."""," ""last year"""," ""last year"""," ""this month"""," ""this quarter""", 1!,3.034144, 2@,5.478931
34,"	 You see a man laughing at a disabled co-worker while at an office __."""," ""softball game"""," ""charity run"""," ""beach retreat"""," ""softball game""", 3#,4.724709, 3#,5.60014
34,"	 You see someone at the __ lifting free weights in nice business clothes."""," ""school gym"""," ""health club"""," ""rec center"""," ""school gym""", 1!,7.316432, 2@,8.258459
34,"	 You see a man telling his __ that she has to switch to his political party."""," ""fiancee"""," ""wife"""," ""girlfriend"""," ""fiancee""", 1!,5.947595, 2@,8.165452
34,"	 You see a woman insulting a severely obese man who is sitting in the __."""," ""park"""," ""airport"""," ""park"""," ""doctor's office""", 4$,3.927774, 3#,4.783145
34,"	 You see a girl telling a boy that his __ is much more attractive than him."""," ""older brother"""," ""cousin"""," ""older brother"""," ""best friend""", 2@,3.502982, 3#,5.016105
34,"	 You see a girl telling her __ that she looks like she has gained weight."""," ""classmate"""," ""mother"""," ""sister"""," ""classmate""", 3#,4.185875, 3#,5.012384
34,"	 You see someone using an old __ and refusing to go buy a new one."""," ""rotary phone"""," ""printer"""," ""rotary phone"""," ""laptop""", 2@,4.043951, 3#,4.921362
34,"	 You see a man staying inside his home with the __ on a rare sunny day."""," ""shades drawn"""," ""shades drawn"""," ""curtains closed"""," ""lights off""", 2@,4.455447, 3#,5.264701
34,"	 You see a student copying a classmate's answer sheet on a makeup __."""," ""final exam"""," ""midterm exam"""," ""final exam"""," ""quiz""", 2@,5.285544, 3#,6.355644
34,"	 You see a former Secretary of __ publicly giving up his citizenship to the US."""," ""State"""," ""State"""," ""Defense"""," ""Treasury""", 1!,1.568175, 3#,2.916913
34,"	 You see a boy making fun of his brother for getting __ his girlfriend."""," ""dumped by"""," ""yelled at by"""," ""dumped by"""," ""in trouble with""", 2@,5.167351, 3#,7.065525
34,"	 You see a head cheerleader booing her __ team during a homecoming game."""," ""high school's"""," ""university's"""," ""high school's"""," ""college's""", 2@,4.258519, 3#,5.658002
34,"	 You see a woman snatching away her dog's food for making a mess in the __."""," ""living room"""," ""bedroom"""," ""kitchen"""," ""living room""", 3#,7.266231, 1!,8.140717
34,"	 You see an intern disobeying an order to dress professionally and __."""," ""comb his hair"""," ""get a haircut"""," ""shave"""," ""comb his hair""", 3#,3.861317, 3#,4.726431
34,"	 You see someone driving around in a dirty __ that has not been washed recently."""," ""car"""," ""sedan"""," ""car"""," ""minivan""", 2@,4.023102, 2@,4.877575
