subID, vignette,correct_answer, choice1, choice2, choice3, resp, RT, confresp, confRT
2," ""You see a boy skipping to the front of the line because his friend is __."""," ""an employee""",the manager,a cashier,an employee, 2@,7.561174, 2@,9.630154
2," ""You see a boy spray-painting __ symbols on the side of the police station."""," ""anarchy""",dirty,anarchy,gang, 2@,4.567558, 3#,5.967657
2," ""You see a boy telling a woman that she looks just like her overweight __ ."""," ""bulldog""",pug,beagle,bulldog, 3#,5.905864, 3#,7.224212
2," ""You see a boy tripping a classmate in order to be the first __."""," ""in the cafeteria line""",in the cafeteria line,on the schoolbus,out on the playground, 1!,6.810859, 2@,8.281724
2," ""You see a boy turning up the __ as his father talks about his military service."""," ""TV""",radio,TV,volume, 2@,6.71397, 2@,7.939454
2," ""You see a Brazilian at the World Cup cheering for __ to win every medal."""," ""Germany""",Germany,Britain,Portugal, 4$,4.065311, 3#,6.739246
2," ""You see a brother kicking his sister's __ that took many hours to build."""," ""sandcastle""",Lego tower,house of cards,sandcastle, 4$,5.007821, 3#,8.520488
2," ""You see a campaign manager cheering as an opponent pulls ahead to win the __."""," ""election""",popular vote,race,election, 4$,6.136427, 3#,9.611683
2," ""You see a college president singing a rival school's fight song during __."""," ""a pep rally""",the championship,the homecoming game,a pep rally, 2@,6.087067, 2@,7.703217
2," ""You see a customer greeting every stranger she sees while __."""," ""in a coffee shop""",sitting at the bar,waiting in the lobby,in a coffee shop, 4$,4.490086, 2@,6.694725
2," ""You see a drug addict offering to provide any service for __."""," ""a bump of cocaine""",an ounce of meth,a hit of heroin,a bump of cocaine, 4$,7.152804, 1!,8.612031
2," ""You see a drunk elderly man offering to __ with anyone at the bar."""," ""have oral sex""",make out,cuddle,have oral sex, 3#,7.18022, 2@,9.888284
2," ""You see a family eating the carcass of their pet __ that had been run over."""," ""dog""",dog,kitten,turtle, 1!,5.129333, 3#,7.756891
2," ""You see a father requiring his son to become a __ like him."""," ""commercial airline pilot""",commercial airline pilot,corporate entrepreneur,chemical engineer, 1!,9.571573, 2@,11.130561
2," ""You see a father requiring his son to take up the family __ business."""," ""restaurant""",mechanic,restaurant,plumbing, 2@,6.648478, 2@,8.501697
2," ""You see a former Secretary of __ publicly giving up his citizenship to the US."""," ""State""",State,Defense,Treasury, 2@,8.79823, 2@,10.633042
2," ""You see a former US __ saying publicly he would never buy any American product."""," ""general""",general,president,congressman, 3#,6.814848, 2@,8.57949
2," ""You see a girl and her __ making out with each other just for practice."""," ""sister""",brother,sister,cousin, 1!,7.868991, 3#,12.39912
2," ""You see a girl asking for allowance even though her brother __ for her."""," ""did her chores""",did her chores,cleaned her room,made her bed, 1!,3.708678, 3#,4.954208
2," ""You see a girl ignoring her father's orders by taking the car __."""," ""after her curfew""",after her curfew,out while grounded,without permission, 1!,6.023845, 3#,7.513657
2," ""You see a girl laughing at another student forgetting her lines __ ."""," ""at a school play""",at a poetry recital,at a school play,in front of everyone, 2@,4.80394, 3#,6.215897
2," ""You see a girl laughing when she realizes her friend's dad is the __ ."""," ""janitor""",school nurse,janitor,schoolbus driver, 2@,3.641262, 3#,4.875046
2," ""You see a girl quitting her father's __ team to play for their biggest rival."""," ""soccer""",basketball,baseball,soccer, 4$,5.892885, 2@,10.053244
2," ""You see a girl repeatedly interrupting her __ as he explains a new concept."""," ""teacher""",teacher,professor,tutor, 3#,6.82048, 1!,8.130668
2," ""You see a girl rolling her eyes as her father tells her to __."""," ""do her homework""",eat her vegetables,clean her room,do her homework, 2@,4.797541, 2@,5.997768
2," ""You see a girl saying that another girl is too ugly to __."""," ""be a varsity cheerleader""",find a prom date,be her bridesmaid,be a varsity cheerleader, 3#,6.011583, 3#,8.103227
2," ""You see a girl shooting geese repeatedly with a pellet gun out __."""," ""in the woods""",in her backyard,in the woods,at the pond, 1!,5.035685, 2@,6.714634
2," ""You see a girl taking all the Halloween candy from a __, leaving none for others."""," ""bowl""",bowl,bag,dish, 3#,10.178103, 3#,11.44748
2," ""You see a girl telling a boy that his __ is much more attractive than him."""," ""older brother""",older brother,best friend,cousin, 1!,6.259416, 2@,8.187049
2," ""You see a girl telling her __ that she looks like she has gained weight."""," ""classmate""",mother,classmate,sister, 2@,6.746083, 3#,8.402221
2," ""You see a girl throwing __ on a woman who is dating her ex-boyfriend."""," ""her hot coffee""",her hot coffee,a glass of wine,her hot tea, 1!,6.99842, 2@,9.149541
2," ""You see a group of women having a long and loud conversation __."""," ""during a church sermon""",during a church sermon,during a meditation class,with a funeral nearby, 1!,8.04388, 1!,9.67929
2," ""You see a head cheerleader booing her __ team during a homecoming game."""," ""high school's""",high school's,college's,university's, 1!,13.219898, 2@,16.014338
2," ""You see a Hollywood star agreeing with a foreign __ denunciation of the US."""," ""dictator's""",dictator's,leader's,tyrant's, 2@,8.225673, 2@,9.439988
2," ""You see a homosexual in a gay bar offering sex to anyone who __."""," ""buys him a drink""",buys him a drink,will drive him home,wants to have sex, 1!,5.446953, 3#,7.618096
2," ""You see a judge taking on __ case although he is friends with the defendant."""," ""a criminal""",a criminal,a civil,an appeals, 1!,8.349537, 2@,10.917423
2," ""You see a man being openly rude to a police officer he passes __."""," ""on the sidewalk""",on the sidewalk,on his bike,at a crosswalk, 3#,7.700738, 1!,9.657015
2," ""You see a man blocking his wife from leaving home or __."""," ""interacting with others""",having a job,interacting with others,watching the news, 2@,7.33961, 3#,10.60283
2," ""You see a man eating a bowl of cereal in the morning with __ instead of milk."""," ""water""",water,orange juice,creamer, 1!,3.168153, 3#,4.74192
2," ""You see a man elbowing someone as he struggles to get __ quickly."""," ""off the plane""",off the plane,out of the elevator,out the door, 3#,5.043324, 2@,7.679624
2," ""You see a man entering __ while still wearing all his work clothes."""," ""a hot tub""",the shower,a swimming pool,a hot tub, 4$,7.751651, 2@,11.239417
2," ""You see a man forbidding his wife to __ that he has not first approved."""," ""wear clothing""",see movies,read books,wear clothing, 3#,4.784179, 3#,6.030965
2," ""You see a man fulfilling a deceased stranger's request by eating some of his __."""," ""flesh""",flesh,hair,skin, 4$,6.64734, 3#,7.920485
2," ""You see a man having sex with a frozen chicken before __ for dinner."""," ""cooking it""",heating it up,cooking it,preparing it, 2@,7.579056, 2@,8.876557
2," ""You see a man in a bar using his __ to watch people having sex with animals."""," ""phone""",laptop,phone,iPad, 2@,6.762958, 3#,10.70459
2," ""You see a man lashing his __ with a whip for breaking loose from its pen."""," ""pony""",goat,donkey,pony, 3#,8.539402, 3#,10.119032
