Record Number	X coor	Y coor	Z coor	Level 1	Level 2	Level 3	Level 4	Level 5	Range (mm)	Appended Data
1	26.0	-39.0	68.0	Right Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	1	
2	20.0	-31.0	9.0	Right Cerebrum	Sub-lobar	Thalamus	Gray Matter	Pulvinar	0	
3	8.0	-19.0	49.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	1	
4	16.0	-77.0	44.0	Right Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 7	0	
5	-10.0	-8.0	24.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	3	
6	-12.0	-26.0	69.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	4	
7	6.0	-10.0	69.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	2	
8	44.0	-15.0	49.0	Right Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 4	1	
9	-28.0	3.0	13.0	Left Cerebrum	Sub-lobar	Claustrum	Gray Matter	*	1	
10	-18.0	-76.0	-10.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 18	0	
11	12.0	-33.0	44.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	3	
12	-12.0	-43.0	70.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 5	3	
13	-26.0	-58.0	0.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	1	
14	-57.0	-36.0	20.0	Left Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	1	
15	38.0	49.0	9.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 10	1	
16	51.0	-44.0	50.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	0	
17	-32.0	-36.0	57.0	Left Cerebrum	Parietal Lobe	Postcentral Gyrus	Gray Matter	Brodmann area 40	0	
18	10.0	20.0	60.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	0	
19	14.0	-12.0	25.0	Right Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	2	
20	34.0	5.0	57.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 6	1	
21	32.0	26.0	48.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	0	
22	18.0	8.0	53.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	1	
23	51.0	6.0	2.0	Right Cerebrum	Temporal Lobe	Superior Temporal Gyrus	Gray Matter	Brodmann area 22	0	
24	-34.0	37.0	4.0	No Gray Matter found						
25	40.0	-32.0	20.0	Right Cerebrum	Sub-lobar	Insula	Gray Matter	Brodmann area 13	0	
26	-6.0	20.0	8.0	Left Cerebrum	Sub-lobar	Caudate	Gray Matter	Caudate Body	1	
27	24.0	58.0	27.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 9	0	
28	48.0	-60.0	-2.0	Right Cerebrum	Temporal Lobe	Inferior Temporal Gyrus	Gray Matter	Brodmann area 19	1	
29	-34.0	38.0	26.0	Left Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	3	
30	12.0	-82.0	24.0	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 18	2	
31	53.0	13.0	32.0	Right Cerebrum	Frontal Lobe	Middle Frontal Gyrus	Gray Matter	Brodmann area 9	0	
32	4.0	-27.0	-4.0	Right Brainstem	Midbrain	*	Gray Matter	Red Nucleus	4	
33	-38.0	-7.0	-16.0	Left Cerebrum	Temporal Lobe	Sub-Gyral	Gray Matter	Brodmann area 20	4	
34	-34.0	9.0	24.0	Left Cerebrum	Frontal Lobe	Inferior Frontal Gyrus	Gray Matter	Brodmann area 9	3	
35	-20.0	-71.0	-22.0	Left Cerebellum	Posterior Lobe	Declive	Gray Matter	*	0	
36	20.0	8.0	0.0	Right Cerebrum	Sub-lobar	Lentiform Nucleus	Gray Matter	Putamen	0	
37	-50.0	-11.0	13.0	Left Cerebrum	Frontal Lobe	Precentral Gyrus	Gray Matter	Brodmann area 13	0	
38	-28.0	-60.0	1.0	Left Cerebrum	Occipital Lobe	Lingual Gyrus	Gray Matter	Brodmann area 19	0	
39	-40.0	-60.0	44.0	Left Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
40	6.0	-33.0	33.0	Right Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 31	1	
41	38.0	51.0	20.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 10	2	
42	16.0	20.0	43.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 8	4	
43	10.0	-6.0	70.0	Right Cerebrum	Frontal Lobe	Superior Frontal Gyrus	Gray Matter	Brodmann area 6	3	
44	8.0	-24.0	71.0	Right Cerebrum	Frontal Lobe	Medial Frontal Gyrus	Gray Matter	Brodmann area 6	4	
45	-16.0	-6.0	41.0	Left Cerebrum	Limbic Lobe	Cingulate Gyrus	Gray Matter	Brodmann area 24	2	
46	12.0	-78.0	37.0	Right Cerebrum	Occipital Lobe	Cuneus	Gray Matter	Brodmann area 19	0	
47	-24.0	-76.0	24.0	Left Cerebrum	Parietal Lobe	Precuneus	Gray Matter	Brodmann area 31	2	
48	-8.0	45.0	1.0	Left Cerebrum	Limbic Lobe	Anterior Cingulate	Gray Matter	Brodmann area 32	0	
49	-51.0	-4.0	-12.0	Left Cerebrum	Temporal Lobe	Middle Temporal Gyrus	Gray Matter	Brodmann area 21	3	
50	53.0	-52.0	49.0	Right Cerebrum	Parietal Lobe	Inferior Parietal Lobule	Gray Matter	Brodmann area 40	2	
