26	-39	68
20	-31	9
8	-19	49
16	-77	44
-10	-8	24
-12	-26	69
6	-10	69
44	-15	49
-28	3	13
-18	-76	-10
12	-33	44
-12	-43	70
-26	-58	0
-57	-36	20
38	49	9
51	-44	50
-32	-36	57
10	20	60
14	-12	25
34	5	57
32	26	48
18	8	53
51	6	2
-34	37	4
40	-32	20
-6	20	8
24	58	27
48	-60	-2
-34	38	26
12	-82	24
53	13	32
4	-27	-4
-38	-7	-16
-34	9	24
-20	-71	-22
20	8	0
-50	-11	13
-28	-60	1
-40	-60	44
6	-33	33
38	51	20
16	20	43
10	-6	70
8	-24	71
-16	-6	41
12	-78	37
-24	-76	24
-8	45	1
-51	-4	-12
53	-52	49
22	-78	-5
22	-66	2
-26	-39	30
18	18	6
-40	17	36
20	-64	44
24	0	37
-28	-14	27
30	-45	-6
-26	-74	-11
-28	-49	-11
-18	-31	46
22	19	27
28	3	24
-22	-30	64
32	26	48
36	7	57
-18	41	46
10	-35	-3
-36	7	25
-46	34	15
-28	-7	-18
-55	-56	10
6	0	-5
57	-50	4
2	-49	26
40	-55	36
-57	-16	-8
-16	-4	33
-42	-62	45
18	27	37
-16	-24	58
55	-10	4
-28	-58	1
46	-68	-2
-8	23	1
-32	20	41
-53	-35	-2
16	-84	-6
-26	-15	47
-16	-30	-20
8	-37	-10
32	-82	-6
57	-6	-13
-14	33	43
-44	35	7
-34	-12	-6
44	32	9
-57	-35	44
-50	-54	8
-4	-8	-8
-6	-28	-7
-57	13	23
-42	-78	28
22	-43	4
8	0	2
18	-5	-17
63	-29	36
28	-23	-1
-34	-41	-8
36	9	-9
-4	-41	33
28	-23	42
16	0	39
-55	-10	-11
-44	-61	33
-55	-6	26
-36	-24	18
-22	-70	0
-14	0	39
30	-28	18
-20	-30	59
50	-64	-2
-53	-35	-2
20	19	21
40	-73	9
57	-9	-15
-8	-57	-9
-26	-63	25
16	-84	-8
-32	-5	-17
-42	35	7
-55	-58	7
50	29	4
-57	-41	44
-38	-80	33
6	2	0
24	-38	7
30	-1	-20
-61	-44	21
2	5	27
-42	-49	-9
20	-10	-11
-8	-27	-4
28	-23	-2
24	-37	-3
42	-51	-11
61	1	11
12	-32	57
2	-60	44
2	-58	-2
-38	-24	18
6	-43	-3
48	-28	20
-50	-15	6
-36	-54	43
38	-9	6
14	-6	37
-51	-5	-13
-24	-45	-13
-18	-86	-6
-26	-32	57
-12	2	42
16	-18	58
20	-44	46
20	29	39
34	-73	11
46	-70	42
26	15	25
48	-66	0
16	14	44
-28	-39	26
-57	-8	26
-32	-5	-18
6	5	15
48	29	2
16	-42	8
-46	40	18
-46	31	6
26	-56	14
-26	-27	5
16	-45	34
24	15	23
61	-1	11
-12	2	42
16	-31	73
14	-18	58
22	-79	46
16	16	42
-30	-5	-20
8	4	11
32	3	-17
-4	2	-3
-16	-15	3
22	-23	-2
-32	-14	-6
-4	-18	32
53	-39	0
