LV1,LV2,LV3,LV4,LV5,LV6,LV7
-2.142,3.7502,-18.938,-1.8704,-26.916,0.55007,-0.0065726
5.1524,-7.0169,-11.182,-31.444,8.5879,1.1691,-0.0073598
11.185,-23.016,-9.2494,-1.0611,-1.4599,-31.637,-0.0048704
28.076,16.754,20.428,1.2087,-1.0117,-3.8227,-0.0078434
11.236,1.8547,-26.482,15.072,15.175,2.2084,-0.0062549
50.819,25.159,-28.571,-12.326,-4.084,-15.566,-0.0025112
54.044,-34.127,-12.013,-3.0319,-7.6261,4.9853,0.0016588
