LV1,LV2,LV3,LV4,LV5,LV6,LV7
-9.1153,-2.6527,-22.304,-13.766,-26.785,-8.7399,-8.7328
-4.6078,-12.162,-16.74,-33.411,-3.3041,-10.312,-2.6373
1.3539,-25.156,-15.15,-13.25,-10.869,-33.561,-3.026
15.256,2.1591,0.26807,-14.404,-10.46,-17.649,-1.5351
1.5336,-3.7354,-28.145,-0.76598,0.82631,-10.821,-2.1262
29.736,4.5849,-38.35,-29.331,-15.819,-31.223,-2.828
34.619,-38.276,-20.388,-15.286,-21.328,-14.009,-0.31455
