Lag0,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6
0,-0.635,-18.964,-18.783,-10.863,-0.68042,2.2733
0,0.96184,-16.513,-20.682,-13.011,-2.573,-2.0799
0,-1.1496,-16.494,-23.331,-21.647,-3.5143,3.1294
0,2.8688,-7.1774,-14.18,-4.1378,12.733,9.2973
0,-1.328,-8.9758,-3.9998,0.29395,10.494,4.7055
0,0.12927,-6.9646,-6.582,-1.2832,14.293,5.9291
0,-1.7541,-16.487,-21.432,-19.533,1.2723,3.7311
0,0.27758,0.45531,0.93622,-2.1868,-4.7802,-2.3895
0,-0.2272,-7.144,-4.5123,3.8583,9.0667,-2.2116
0,-0.4066,-9.7677,-11.905,-7.4822,-10.304,-2.2172
0,-0.96504,-8.2639,-4.8945,4.0867,8.7095,0.73186
0,0.97638,-0.60023,4.0218,2.5429,-3.9673,-3.9627
0,1.5255,-0.75473,-3.3501,3.9427,9.0642,-1.6955
0,-1.2082,-5.5974,-9.67,-6.9197,-3.8935,-4.2534
0,0.5346,-0.33452,2.1932,4.1122,0.16805,-0.17517
0,-0.8554,-5.4418,-6.0284,-1.6738,14.125,8.5035
0,-3.1566,-16.766,-19.025,-12.833,3.3304,3.8273
0,-3.9708,-26.115,-28.184,-17.695,-3.9578,0.82717
0,-0.10914,-10.903,-13.581,-10.283,-4.8902,2.529
0,2.2708,2.3711,1.8618,2.1679,14.042,8.7273
0,-4.4143,-22.161,-31.426,-27.12,-14.972,-4.2095
0,-0.19923,-7.5175,-13.267,-12.658,-4.6319,-0.66893
0,0.075019,-4.1105,-12.279,-8.731,-0.64244,-1.1016
0,0.0016781,-3.9368,-11.257,-14.104,-4.1247,0.85952
0,2.2715,0.24331,-1.3358,1.3915,10.227,6.1866
0,0.38503,-4.9289,-10.775,-12.868,-2.1313,2.0095
0,0.31436,-3.1378,-5.2739,-3.1911,4.8423,4.016
0,-0.24356,-4.8569,-10.333,-6.7638,2.3428,2.5583
0,1.3084,-0.47308,-7.8654,-17.845,-24.558,-13.844
0,3.6208,15.357,14.65,-1.057,-13.963,-10.009
0,0.71119,5.8944,6.5232,-10.201,-30.535,-14.632
0,3.8807,37.895,57.682,47.477,35.704,16.603
0,-0.2365,5.026,11.806,17.53,31.93,20.765
0,1.0212,19.827,30.361,33.74,33.496,10.316
0,-1.6348,-8.8281,-22.848,-32.925,-35.017,-14.242
0,0.58363,-2.5566,1.0771,4.126,-9.1065,-8.272
0,-2.2637,-9.5231,3.1254,11.928,11.382,-1.6795
0,-2.1964,0.8474,15.733,25.185,25.482,6.1833
0,-3.7082,-14.241,-5.4496,0.63598,0.96856,-1.6106
0,-1.2006,-14.685,-9.396,-6.0754,-6.656,-4.7825
0,0.17441,-1.0931,19.228,43.548,42.958,11.83
0,-3.3333,-8.8274,-12.586,-2.4371,-1.5257,-6.933
0,-0.33721,-5.4912,-8.6505,-4.2028,-2.8208,-0.36068
0,0.90926,-0.10753,-1.1153,-0.50937,4.2921,0.52666
