LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
-8.5505,-6.2903,-6.0301,5.2223,-11.825,2.5618,-13.271,-2.9071
-18.737,-6.2398,0.42929,-8.7272,-20.633,-13.053,-14.527,-5.3001
-27.859,-11.407,-13.193,-1.5329,-13.776,-8.9717,-3.8608,-2.7304
-4.0207,0.65123,-20.708,-4.6435,-13.224,-9.8326,-9.5857,-2.969
-16.007,-2.5485,-4.6132,0.25271,-0.41823,-15.07,-13.32,-2.8017
-6.8883,-0.91701,-8.9371,14.487,-17.977,-14.026,-7.9405,-4.9937
-36.126,-5.6575,-20.951,1.4128,-16.351,-14.113,-21.443,-3.5635
-11.878,-25.879,-11.716,4.2111,-12.571,-13.976,-12.585,-3.0998
